,Label,University_Name,UniversityNo,Year,Topic,Province,University_Name_Location,Plan_Number,Ranking_Scores,Media_Impact,GDP,Population,GDP_Per_Person,Distance,Lowest,Highest,ave,Plan,NO
70,674,东北大学,10145,2012,理科,辽宁,东北大学,92,14.97,0.032326284,2222670,4383.0,507.11156741959996,2760.0,576.0,591.0,581.0,52.0,第一批
71,680,东北大学,10145,2010,理科,辽宁,东北大学,42,16.2,0.0465020576,1521250,4341.0,350.43768716889997,2760.0,559.0,590.0,568.0,80.0,第一批
72,686,东北大学,10145,2011,理科,辽宁,东北大学,50,15.08,0.0393522267,1845727,4375.0,421.8804571429,2760.0,628.0,644.0,632.0,41.0,第一批
73,692,东北大学,10145,2015,理科,辽宁,东北大学,114,67.0,0.035725428999999996,2862658,4391.0,651.9375996356,2760.0,582.0,613.0,584.0,,第一批
74,696,东北大学,19145,2014,理科,河北,东北大学秦皇岛分校,67,65.8,0.0402597403,2830141,7332.61,385.96638850290003,2760.0,574.0,608.0,579.0,45.0,第一批
75,702,东北大学,19145,2013,理科,河北,东北大学秦皇岛分校,60,13.67,0.031630170299999996,2657501,7287.51,364.6651599792,2760.0,585.0,623.0,591.0,15.0,第一批
76,714,东北大学,10145,2013,理科,辽宁,东北大学,119,13.67,0.031630170299999996,2484643,4389.0,566.1068580542,2760.0,592.0,612.0,599.0,92.0,第一批
77,718,东北大学,10145,2014,理科,辽宁,东北大学,126,65.8,0.0402597403,2707765,4390.0,616.8029612756,2760.0,590.0,626.0,596.0,119.0,第一批
78,733,东北师范大学,10200,2013,理科,吉林,东北师范大学,22,12.73,0.0250608273,1193924,2750.4,434.0910413031,3052.0,585.0,593.0,590.0,4.0,第一批
79,737,东北师范大学,10200,2011,文科,吉林,东北师范大学,10,10.81,0.0,866758,2746.6,315.5748925945,3052.0,597.0,603.0,600.0,4.0,第一批
80,737,东北师范大学,10200,2011,文科,吉林,东北师范大学,10,10.81,0.0,866758,2746.6,315.5748925945,3052.0,,616.0,610.0,5.0,不详
81,746,东北师范大学,10200,2014,理科,吉林,东北师范大学,17,65.27,0.0451298701,1298146,2751.28,471.833473874,3052.0,574.0,591.0,582.0,22.0,第一批
82,749,东北师范大学,10200,2010,理科,吉林,东北师范大学,6,10.93,0.03,727875,2739.55,265.6914456754,3052.0,545.0,555.0,550.0,2.0,第一批
83,749,东北师范大学,10200,2010,理科,吉林,东北师范大学,6,10.93,0.03,727875,2739.55,265.6914456754,3052.0,531.0,583.0,554.0,53.0,提前批
