"","Year","Ranking_Scores","Plan_Number","GDP_Per_Person","X1A_Number","Level"
"631",2012,3.34,20,338.591618546207,29207,"K"
"632",2012,4.84,5,338.591618546207,29207,"K"
"633",2012,21.25,12,817.721707718129,29207,"K"
"634",2012,4.36,1500,506.523369823893,29207,"K"
"635",2012,8.58,54,286.859198316191,29207,"K"
"636",2012,56.1,80,591.595277320154,29207,"F"
"637",2012,96.18,49,805.108986426236,29207,"C"
"638",2012,NA,15,591.595277320154,29207,"K"
"639",2012,5.48,4,299.271973233245,29207,"K"
"640",2012,4.76,140,287.521940322323,29207,"K"
"641",2012,6.45,34,805.108986426236,29207,"H"
"642",2012,11.86,38,340.956234803751,29207,"K"
"643",2012,34.56,150,340.956234803751,29207,"K"
"644",2012,8.16,22,817.721707718129,29207,"K"
"645",2012,42.52,40,817.721707718129,29207,"E"
"646",2012,1.89,55,817.721707718129,29207,"K"
"647",2012,36.61,4,621.743376782527,29207,"H"
"648",2012,11.85,47,340.956234803751,29207,"K"
"649",2012,8.11,74,805.108986426236,29207,"K"
"650",2012,39.37,169,340.956234803751,29207,"J"
"651",2012,9.11,200,340.956234803751,29207,"K"
"652",2012,1.76,46,621.743376782527,29207,"K"
"653",2012,42.9,46,621.743376782527,29207,"F"
"654",2012,5.87,125,340.956234803751,29207,"K"
"655",2012,5.92,8,805.108986426236,29207,"K"
"656",2012,8.22,24,298.22245133119,29207,"K"
"657",2012,7.47,18,805.108986426236,29207,"K"
"658",2012,1,10,298.22245133119,29207,"K"
"659",2012,3.61,8,805.108986426236,29207,"H"
"660",2012,27.62,202,298.22245133119,29207,"J"
"661",2012,4.36,35,298.22245133119,29207,"K"
"662",2012,13.92,185,298.22245133119,29207,"J"
"663",2012,11.08,8,384.403562946232,29207,"K"
"664",2012,13.82,60,195.787753637601,29207,"K"
"665",2012,2.98,6,384.403562946232,29207,"K"
"666",2012,4.57,6,805.108986426236,29207,"J"
"667",2012,6.61,19,260.732651080943,29207,"K"
"668",2012,NA,5,338.591618546207,29207,"K"
"669",2012,10.42,130,261.20099378882,29207,"J"
"670",2012,1.78,160,472.047849462366,29207,"K"
"671",2012,25.42,91,472.047849462366,29207,"I"
"672",2012,4.92,12,164.365523205535,29207,"K"
"673",2012,14.97,46,338.591618546207,29207,"K"
"674",2012,12.25,7,805.108986426236,29207,"K"
"675",2012,4.75,18,507.111567419576,29207,"K"
"676",2012,3.18,19,507.111567419576,29207,"K"
"677",2012,3.37,77,507.111567419576,29207,"K"
"678",2012,14.97,92,507.111567419576,29207,"K"
"679",2012,27.84,31,834.744348801843,29207,"H"
"680",2012,1.47,9,507.111567419576,29207,"K"
"681",2012,17.34,35,507.111567419576,29207,"J"
"682",2012,1.75,28,507.111567419576,29207,"K"
"683",2012,8.02,64,256.378183646113,29207,"K"
"684",2012,4.75,14,256.378183646113,29207,"K"
"685",2012,3.71,61,342.972593353888,29207,"K"
"686",2012,14.47,89,342.972593353888,29207,"K"
"687",2012,1.63,3,256.378183646113,29207,"K"
"688",2012,27.49,35,470.691907563034,29207,"K"
"689",2012,27.49,81,470.691907563034,29207,"K"
"690",2012,10.52,42,342.972593353888,29207,"K"
"691",2012,26.43,31,334.285332620892,29207,"I"
"692",2012,3.26,42,334.285332620892,29207,"K"
"693",2012,10.73,25,340.956234803751,29207,"K"
"694",2012,NA,7,334.285332620892,29207,"K"
"695",2012,2.76,3,334.285332620892,29207,"J"
"696",2012,5.63,30,312.737944162437,29207,"K"
"697",2012,6.11,41,621.743376782527,29207,"K"
"698",2012,7.81,92,334.285332620892,29207,"K"
"699",2012,11.59,4,334.285332620892,29207,"K"
"700",2012,8.48,10,334.285332620892,29207,"K"
"701",2012,9.48,50,334.285332620892,29207,"K"
"702",2012,5.97,39,334.285332620892,29207,"K"
"703",2012,1.16,5,334.285332620892,29207,"K"
"704",2012,1.66,242,506.523369823893,29207,"K"
"705",2012,15.62,25,334.285332620892,29207,"K"
"706",2012,33.68,108,384.403562946232,29207,"K"
"707",2012,1.37,1839,506.523369823893,29207,"K"
"708",2012,5.91,16,472.047849462366,29207,"K"
"709",2012,NA,5,328.168158142519,29207,"K"
"710",2012,5.02,23,328.168158142519,29207,"K"
"711",2012,27.27,65,328.168158142519,29207,"J"
"712",2012,NA,5,328.168158142519,29207,"K"
"713",2012,3.88,18,328.168158142519,29207,"K"
"714",2012,4.19,37,507.111567419576,29207,"K"
"715",2012,8.48,25,328.168158142519,29207,"K"
"814",2013,13,56,864.031314937418,40420,"J"
