"","Year","Province","University_Name_Location","University_Name","UniversityNo","Topic","Plan_Number","Lowest_Ranking","Score","Ranking_Scores","Media_Impact","GDP","Population","Student_Population"
"171","2010","湖北","华中农业大学","华中农业大学","10504","理科","28","23699","627","10.88","0.0330452674897119","1296110","5720",61.5
"172","2010","湖南","湘潭大学","湘潭大学","10530","理科","33","28780","621","4.67",NA,"1305969","6406",61.5
"173","2010","湖南","湖南师范大学","湖南师范大学","10542","文科","22","8432","600","8.28","0.0309053497942387","1305969","6406",61.5
"174","2010","湖南","湖南中医药大学","湖南中医药大学","10541","理科","7","29105","621","0.94",NA,"1305969","6406",61.5
"175","2010","湖南","湖南师范大学","湖南师范大学","10542","理科","26","29406","621","8.28","0.0309053497942387","1305969","6406",61.5
"176","2010","湖南","中南大学","中南大学","10533","文科","22","6152","606","28.22","0.0691358024691358","1305969","6406",61.5
"177","2010","湖南","湘潭大学","湘潭大学","10530","文科","27","10493","595","4.67",NA,"1305969","6406",61.5
"178","2010","湖南","中南大学","中南大学","10533","理科","236","15261","638","28.22","0.0691358024691358","1305969","6406",61.5
"179","2010","湖南","湖南大学","湖南大学","10532","理科","148","13505","640","13.84","0.0576131687242798","1305969","6406",61.5
"180","2010","湖南","湖南大学","湖南大学","10532","文科","23","5474","608","13.84","0.0576131687242798","1305969","6406",61.5
"181","2010","甘肃","兰州大学","兰州大学","10730","理科","38","23374","627","14.36","0.0493827160493827","338756","2554.91",61.5
"182","2010","甘肃","兰州大学","兰州大学","10730","文科","12","7274","603","14.36","0.0493827160493827","338756","2554.91",61.5
"183","2010","福建","厦门大学","厦门大学","10384","理科","70","12248","642","26.4","0.118930041152263","1223653","3666",61.5
"184","2010","福建","华侨大学","华侨大学","10385","文科","44","10832","595","1.3","0.0388477366255144","1223653","3666",61.5
"185","2010","福建","厦门大学","厦门大学","10384","文科","22","1620","627","26.4","0.118930041152263","1223653","3666",61.5
"186","2010","福建","福州大学","福州大学","10386","理科","10","24811","626","5.7","0.0337037037037037","1223653","3666",61.5
"187","2010","福建","华侨大学","华侨大学","10385","理科","186","29441","621","1.3","0.0388477366255144","1223653","3666",61.5
"188","2010","贵州","贵州大学","贵州大学","10657","理科","18","26886","623","4.55",NA,"391268","3537",61.5
"189","2010","贵州","贵州大学","贵州大学","10657","文科","6","10273","596","4.55",NA,"391268","3537",61.5
"190","2010","辽宁","大连海事大学","大连海事大学","10151","理科","73","29032","621","3.38",NA,"1521250","4341",61.5
"191","2010","辽宁","辽宁工程技术大学","辽宁工程技术大学","10147","理科","30","27850","622","1.6",NA,"1521250","4341",61.5
"192","2010","辽宁","沈阳药科大学","沈阳药科大学","10163","理科","10","24363","626","1.67",NA,"1521250","4341",61.5
"193","2010","辽宁","辽宁大学","辽宁大学","10140","理科","14","29363","621","4.8",NA,"1521250","4341",61.5
"194","2010","辽宁","东北大学","东北大学","10145","理科","42","22866","628","16.2","0.0465020576131687","1521250","4341",61.5
"195","2010","辽宁","东北财经大学","东北财经大学","10173","文科","20","4033","614","3.32",NA,"1521250","4341",61.5
