University_Name_Location,年份,最低,最高,平均,录取人数,录取批次,Topic
厦门大学,2013,607,665,634,111,第一批,理科
厦门大学,2012,607,657,631,91,第一批,理科
厦门大学,2011,588,637,613,87,第一批,理科
厦门大学,2010,642,677,654,74,第一批,理科
厦门大学,2009,563,632,598,97,第一批,理科
厦门大学,2009,575,576,575,2,提前批,理科
厦门大学,2008,596,642,613,65,第一批,理科
厦门大学,2014,621,,620,,第一批,文科
厦门大学,2013,622,651,634,27,第一批,文科
厦门大学,2012,615,642,627,23,第一批,文科
厦门大学,2011,600,636,619,23,第一批,文科
厦门大学,2010,627,648,634,24,第一批,文科
厦门大学,2009,533,585,557,24,第一批,文科
厦门大学,2009,379,483,431,2,提前批,文科
厦门大学,2008,603,639,617,24,第一批,文科
山东大学,2014,596,,603,,第一批,理科
山东大学,2013,583,635,610,108,第一批,理科
山东大学,2012,586,632,608,79,第一批,理科
山东大学,2011,572,619,596,63,第一批,理科
山东大学,2011,251,339,284,3,专科,理科
山东大学,2010,639,664,644,65,第一批,理科
山东大学,2009,568,598,582,108,第一批,理科
山东大学,2008,589,624,593,50,第一批,理科
山东大学,2014,608,,613,,第一批,文科
山东大学,2013,594,627,616,29,第一批,文科
山东大学,2013,515,515,515,1,专科,文科
山东大学,2012,590,619,612,25,第一批,文科
山东大学,2011,606,617,610,21,第一批,文科
山东大学,2011,267,387,329,7,专科,文科
山东大学,2010,618,635,622,19,第一批,文科
山东大学,2009,537,561,552,23,第一批,文科
山东大学,2008,570,610,594,23,第一批,文科
中国海洋大学,2013,592,619,600,113,第一批,理科
中国海洋大学,2012,585,615,603,86,第一批,理科
中国海洋大学,2011,563,609,584,87,第一批,理科
中国海洋大学,2010,629,653,634,79,第一批,理科
中国海洋大学,2009,560,593,570,60,第一批,理科
中国海洋大学,2008,564,610,580,48,第一批,理科
中国海洋大学,2013,608,621,612,27,第一批,文科
中国海洋大学,2012,584,611,601,18,第一批,文科
中国海洋大学,2011,589,600,593,15,第一批,文科
中国海洋大学,2010,605,618,609,21,第一批,文科
中国海洋大学,2009,527,545,534,15,第一批,文科
中国海洋大学,2008,575,595,583,10,第一批,文科
武汉大学,2015,646,674,,,第一批,理科
武汉大学,2013,603,657,630,204,第一批,理科
武汉大学,2012,610,660,634,170,第一批,理科
武汉大学,2011,598,653,621,183,第一批,理科
武汉大学,2010,655,678,662,153,第一批,理科
武汉大学,2009,543,646,601,1901,第一批,理科
武汉大学,2009,579,631,595,20,提前批,理科
武汉大学,2008,576,647,624,124,第一批,理科
武汉大学,2015,626,641,,,第一批,文科
武汉大学,2014,,,623,,提前批,文科
武汉大学,2013,611,648,634,42,第一批,文科
武汉大学,2012,615,643,627,39,第一批,文科
武汉大学,2011,617,638,624,39,第一批,文科
武汉大学,2010,631,646,635,36,第一批,文科
武汉大学,2010,,638,629,8,不详,文科
武汉大学,2009,522,587,564,362,第一批,文科
武汉大学,2008,606,637,624,27,第一批,文科
湖南大学,2014,602,,608,,第一批,理科
湖南大学,2013,606,636,613,176,第一批,理科
湖南大学,2012,596,652,616,185,第一批,理科
湖南大学,2011,572,624,594,169,第一批,理科
湖南大学,2010,640,660,645,148,第一批,理科
湖南大学,2009,540,591,572,184,第一批,理科
湖南大学,2009,569,569,569,1,提前批,理科
湖南大学,2008,569,616,587,134,第一批,理科
湖南大学,2014,607,,612,,第一批,文科
湖南大学,2013,614,628,619,26,第一批,文科
湖南大学,2012,609,622,613,24,第一批,文科
湖南大学,2011,599,611,603,25,第一批,文科
湖南大学,2010,608,623,614,24,第一批,文科
湖南大学,2009,518,556,541,38,第一批,文科
湖南大学,2008,572,613,590,24,第一批,文科
中山大学,2014,615,,635,,第一批,理科
中山大学,2013,607,676,640,2755,第一批,理科
中山大学,2012,610,679,642,2725,第一批,理科
中山大学,2011,590,661,623,2752,第一批,理科
中山大学,2009,541,639,597,124,第一批,理科
中山大学,2009,554,583,566,8,提前批,理科
中山大学,2008,564,680,622,2773,第一批,理科
中山大学,2014,622,,631,,第一批,文科
中山大学,2013,610,661,637,849,第一批,文科
中山大学,2012,601,661,630,931,第一批,文科
中山大学,2011,596,649,623,938,第一批,文科
中山大学,2009,543,581,560,43,第一批,文科
中山大学,2008,570,651,619,1194,第一批,文科
华南理工大学,2014,,,621,,第一批,理科
华南理工大学,2013,598,679,626,2671,第一批,理科
华南理工大学,2012,600,670,628,2742,第一批,理科
华南理工大学,2011,581,653,609,2909,第一批,理科
华南理工大学,2009,540,607,583,84,第一批,理科
华南理工大学,2009,555,590,564,4,提前批,理科
华南理工大学,2008,583,648,605,3066,第一批,理科
华南理工大学,2014,,,615,,第一批,文科
华南理工大学,2013,606,630,621,238,第一批,文科
华南理工大学,2012,591,634,614,258,第一批,文科
华南理工大学,2011,587,617,606,205,第一批,文科
华南理工大学,2009,521,556,539,19,第一批,文科
华南理工大学,2008,580,621,590,230,第一批,文科
重庆大学,2014,,,606,,第一批,理科
