"","Year","UniversityNo","Ranking_Scores","Province","Topic","Media_Impact","Plan_Number","GDP_Per_Person","X1A_Number","Level","Lowest_Ranking","Ranking_Percentage"
"340",2011,10053,5.85,"北京","理科",0.17004048582996,39,719.383250930221,30392,25,5090,0.167478283758884
"341",2011,10031,NA,"北京","理科",NA,13,719.383250930221,30392,31,15042,0.494932877072914
"342",2011,19248,43.63,"上海","理科",0.246558704453441,8,745.484787159199,30392,19,1717,0.0564951302974467
"343",2011,11846,1.47,"广东","理科",0.0279757085020243,1908,440.698442860509,30392,31,15494,0.509805211897868
"344",2011,19614,10.02,"四川","理科",0.0672064777327935,20,213.619029151315,30392,34,30392,1
"345",2011,10558,33.78,"广东","理科",0.259514170040486,2722,440.698442860509,30392,26,6151,0.202388786522769
"346",2011,10004,10.87,"北京","理科",0.0404858299595142,76,719.383250930221,30392,30,13584,0.446959726243748
"347",2011,19213,27.82,"山东","理科",0.0765182186234818,20,408.536202514218,30392,34,26327,0.866247696762306
"348",2011,12121,5.27,"广东","理科",NA,1899,440.698442860509,30392,34,30392,1
"349",2011,10005,7.54,"北京","理科",0.0325910931174089,14,719.383250930221,30392,33,25010,0.822913924717031
"350",2011,10008,13.8,"北京","理科",0.059919028340081,42,719.383250930221,30392,34,29750,0.978876020005265
"351",2011,10033,NA,"北京","理科",NA,24,719.383250930221,30392,31,16645,0.547677020268492
"352",2011,10002,35.65,"北京","理科",0.493927125506073,34,719.383250930221,30392,13,625,0.0205646222690182
"353",2011,11413,11.94,"北京","理科",NA,6,719.383250930221,30392,34,27661,0.910140826533298
"354",2011,10564,6.25,"广东","理科",0.0404858299595142,5324,440.698442860509,30392,34,30392,1
"355",2011,10271,2.8,"上海","理科",0.0293927125506073,9,745.484787159199,30392,25,5560,0.182942879705186
"356",2011,10559,7.36,"广东","理科",0.0680161943319838,1354,440.698442860509,30392,29,11312,0.372203211371414
"357",2011,10023,NA,"北京","理科",NA,5,719.383250930221,30392,34,30392,1
"358",2011,10246,54.89,"上海","理科",0.469635627530364,36,745.484787159199,30392,8,260,0.00855488286391155
"359",2011,10062,3.77,"天津","理科",NA,5,709.961594409254,30392,33,25146,0.827388786522769
"360",2011,10570,1.36,"广东","理科",NA,310,440.698442860509,30392,34,28533,0.938832587523032
"361",2011,10290,11.94,"江苏","理科",NA,90,526.416192463409,30392,34,30392,1
"362",2011,10255,7.8,"上海","理科",0.0374089068825911,36,745.484787159199,30392,33,23025,0.757600684390629
"363",2011,10560,1.78,"广东","理科",NA,675,440.698442860509,30392,34,30392,1
"364",2011,10007,16.6,"北京","理科",0.0765182186234818,65,719.383250930221,30392,28,9536,0.313766780731771
"365",2011,10357,5,"安徽","理科",NA,10,207.486192019071,30392,34,30392,1
"366",2011,10026,4.04,"北京","理科",0.0288259109311741,6,719.383250930221,30392,29,10651,0.3504540668597
"367",2011,10359,7.28,"安徽","理科",NA,105,207.486192019071,30392,34,29912,0.984206370097394
"368",2011,10252,1.85,"上海","理科",NA,55,745.484787159199,30392,32,19761,0.650204001052909
"369",2011,10272,5.45,"上海","理科",0.0744939271255061,25,745.484787159199,30392,17,1222,0.0402079494603843
"370",2011,10294,8.44,"江苏","理科",NA,81,526.416192463409,30392,33,23884,0.785864701237168
"371",2011,10286,19.73,"江苏","理科",0.0724696356275304,50,526.416192463409,30392,29,11297,0.371709660436957
"372",2011,10293,1.45,"江苏","理科",NA,46,526.416192463409,30392,32,17781,0.585055277704659
"373",2011,10316,3.46,"江苏","理科",NA,23,526.416192463409,30392,34,25964,0.85430376414846
"374",2011,10307,8.49,"江苏","理科",0.0276113360323887,69,526.416192463409,30392,34,30392,1
"375",2011,10291,4.97,"江苏","理科",NA,40,526.416192463409,30392,33,24635,0.81057515135562
"376",2011,10019,20,"北京","理科",0.108906882591093,45,719.383250930221,30392,31,16868,0.555014477494077
"377",2011,19013,8.33,"北京","理科",0.0716599190283401,17,719.383250930221,30392,32,18045,0.593741774151092
"378",2011,10284,42.47,"江苏","理科",0.155060728744939,47,526.416192463409,30392,14,780,0.0256646485917347
"379",2011,10299,3.55,"江苏","理科",NA,40,526.416192463409,30392,34,30392,1
"380",2011,10295,5.37,"江苏","理科",NA,25,526.416192463409,30392,34,30392,1
"381",2011,10572,3.11,"广东","理科",NA,1807,440.698442860509,30392,34,30392,1
"382",2011,19001,100,"北京","理科",1,15,719.383250930221,30392,10,358,0.0117794156356936
"383",2011,10034,4.6,"北京","理科",0.240890688259109,58,719.383250930221,30392,20,2114,0.069557778362727
"384",2011,10216,5.1,"河北","理科",NA,5,283.505616103203,30392,34,25986,0.85502763885233
"385",2011,10052,5.97,"北京","理科",0.0502024291497976,8,719.383250930221,30392,32,19109,0.628750987101869
"386",2011,10079,4.39,"河北","理科",NA,64,283.505616103203,30392,34,26888,0.884706501710977
"387",2011,19145,15.08,"河北","理科",0.0393522267206478,40,283.505616103203,30392,34,30392,1
"388",2011,80001,1.78,"广东","理科",NA,246,440.698442860509,30392,33,24252,0.797973150829166
"389",2011,10610,33.37,"四川","理科",0.139676113360324,93,213.619029151315,30392,31,15640,0.514609107659911
"390",2011,10287,10.46,"江苏","理科",NA,42,526.416192463409,30392,33,22894,0.753290339563043
"391",2011,10651,4.34,"四川","理科",0.0518218623481781,36,213.619029151315,30392,32,18147,0.597097920505396
"392",2011,10459,8.94,"河南","理科",0.0672064777327935,36,245.520532200943,30392,34,30392,1
"393",2011,10561,16.47,"广东","理科",0.0748987854251012,2880,440.698442860509,30392,28,9473,0.311693866807054
"394",2011,10335,52.91,"浙江","理科",0.261133603238866,74,508.992180313632,30392,12,501,0.016484601210845
"395",2011,10343,NA,"浙江","理科",NA,15,508.992180313632,30392,34,30392,1
"396",2011,10054,4.39,"北京","理科",NA,70,719.383250930221,30392,30,14155,0.465747565148723
"397",2011,10598,1.14,"广西","理科",NA,15,207.588937093275,30392,34,30392,1
"398",2011,10487,33.77,"湖北","理科",0.116599190283401,168,278.768311879247,30392,27,7159,0.235555409318242
"399",2011,10593,4.7,"广西","理科",0.0265991902834008,5,207.588937093275,30392,34,30392,1
"400",2011,10248,43.63,"上海","理科",0.246558704453441,40,745.484787159199,30392,9,284,0.00934456435904185
"401",2011,10013,8.33,"北京","理科",0.0716599190283401,89,719.383250930221,30392,29,10833,0.356442484864438
"402",2011,10504,10.24,"湖北","理科",0.030080971659919,28,278.768311879247,30392,34,30392,1
"403",2011,10251,12.15,"上海","理科",0.0280566801619433,34,745.484787159199,30392,32,18832,0.61963674651224
"404",2011,10285,8.57,"江苏","理科",0.0274898785425101,24,526.416192463409,30392,32,19270,0.634048433798368
"405",2011,10247,21.63,"上海","理科",0.145344129554656,80,745.484787159199,30392,18,1555,0.0511647802053172
"406",2011,10520,5.78,"湖北","理科",0.0493927125506073,120,278.768311879247,30392,33,21193,0.697321663595683
"407",2011,10486,41.07,"湖北","理科",0.269230769230769,174,278.768311879247,30392,26,6495,0.213707554619637
"408",2011,10497,8.82,"湖北","理科",0.042914979757085,204,278.768311879247,30392,32,19066,0.62733614108976
"409",2011,19422,29.13,"山东","理科",0.088663967611336,32,408.536202514218,30392,34,30392,1
"410",2011,10006,21.96,"北京","理科",0.0748987854251012,52,719.383250930221,30392,19,1860,0.0612003158725981
"411",2011,10511,11.7,"湖北","理科",0.0643724696356275,26,278.768311879247,30392,33,24288,0.799157673071861
"412",2011,10541,0.91,"湖南","理科",NA,10,244.105264760049,30392,34,26565,0.874078704922348
"413",2011,10532,14.05,"湖南","理科",0.0663967611336032,170,244.105264760049,30392,31,16821,0.553468017899447
"414",2011,10043,NA,"北京","理科",NA,14,719.383250930221,30392,34,30392,1
"415",2011,11414,11.06,"北京","理科",0.059919028340081,17,719.383250930221,30392,32,17685,0.581896551724138
"416",2011,10542,8.25,"湖南","理科",0.0302834008097166,28,244.105264760049,30392,34,29904,0.983943142932351
"417",2011,10530,4.58,"湖南","理科",NA,43,244.105264760049,30392,34,30392,1
"418",2011,10533,27.77,"湖南","理科",0.0761133603238866,205,244.105264760049,30392,30,13994,0.460450118452224
"419",2011,10022,7.66,"北京","理科",NA,69,719.383250930221,30392,34,25920,0.852856014740721
"420",2011,11415,11.82,"北京","理科",0.0359919028340081,29,719.383250930221,30392,33,23837,0.784318241642537
"421",2011,10288,10.68,"江苏","理科",0.0258704453441296,41,526.416192463409,30392,31,15341,0.504770992366412
"422",2011,10730,14.61,"甘肃","理科",0.0449392712550607,54,160.968054437925,30392,33,24664,0.811529349828902
"423",2011,10403,6.91,"江西","理科",0.0388259109311741,20,211.804859204515,30392,34,27066,0.890563306133193
"424",2011,10200,10.81,"吉林","理科",NA,9,315.57489259448,30392,34,30392,1
"425",2011,10183,35.41,"吉林","理科",0.0680161943319838,100,315.57489259448,30392,32,19965,0.656916293761516
"426",2011,10384,26.03,"福建","理科",0.17085020242915,87,399.055510425129,30392,27,7331,0.241214793366675
"427",2011,10385,1.64,"福建","理科",0.0312145748987854,182,399.055510425129,30392,34,30392,1
"428",2011,10107,NA,"河北","理科",NA,4,283.505616103203,30392,34,30392,1
"429",2011,10080,3.05,"河北","理科",NA,10,283.505616103203,30392,34,25756,0.847459857857331
"430",2011,10657,5,"贵州","理科",NA,16,132.283989652199,30392,34,30392,1
"431",2011,10613,10.15,"四川","理科",NA,100,213.619029151315,30392,32,20792,0.684127401947881
"432",2011,10163,1.59,"辽宁","理科",NA,10,421.880457142857,30392,34,30392,1
"433",2011,10141,17.8,"辽宁","理科",0.0267611336032389,30,421.880457142857,30392,30,13424,0.44169518294288
"434",2011,10614,10.02,"四川","理科",0.0672064777327935,120,213.619029151315,30392,31,15960,0.525138194261648
"435",2011,10173,3.38,"辽宁","理科",NA,20,421.880457142857,30392,32,19301,0.635068439062911
"436",2011,10145,15.08,"辽宁","理科",0.0393522267206478,50,421.880457142857,30392,33,23179,0.762667807317715
"437",2011,10589,4.75,"海南","理科",0.0353036437246964,162,237.695008922918,30392,34,30392,1
"438",2011,10147,1.54,"辽宁","理科",NA,31,421.880457142857,30392,34,30392,1
"439",2011,10151,3.28,"辽宁","理科",NA,78,421.880457142857,30392,34,27389,0.901191102921822
"440",2011,10140,4.79,"辽宁","理科",0.032914979757085,16,421.880457142857,30392,34,28899,0.950875230323769
"441",2011,10159,3.96,"辽宁","理科",NA,37,421.880457142857,30392,34,30392,1
"442",2011,10056,21.98,"天津","理科",0.0757085020242915,33,709.961594409254,30392,30,12966,0.426625427744143
"443",2011,10635,9.96,"重庆","理科",0.0603238866396761,36,274.753000395199,30392,34,28930,0.951895235588313
"444",2011,10358,NA,"安徽","理科",NA,35,207.486192019071,30392,14,700,0.0230323769413003
"445",2011,10491,11.82,"湖北","理科",0.0359919028340081,49,278.768311879247,30392,34,25460,0.837720452750724
"446",2011,10611,15.19,"重庆","理科",0.0712550607287449,86,274.753000395199,30392,31,16086,0.529284022111082
"447",2011,10652,3.77,"重庆","理科",0.0389878542510121,68,274.753000395199,30392,33,21429,0.705086864964464
"448",2011,10698,26.73,"陕西","理科",0.0898785425101215,30,271.043641231593,30392,24,4670,0.153658857594104
"449",2011,10300,1.15,"江苏","理科",NA,12,526.416192463409,30392,34,30392,1
"450",2011,10697,11.63,"陕西","理科",0.0449392712550607,4,271.043641231593,30392,34,30392,1
"451",2011,10703,2.74,"陕西","理科",NA,4,271.043641231593,30392,33,24029,0.79063569360358
"452",2011,10423,11.21,"山东","理科",0.0284615384615385,86,408.536202514218,30392,33,21446,0.705646222690182
"453",2011,10710,8.57,"陕西","理科",NA,50,271.043641231593,30392,34,30392,1
"454",2011,10701,8.31,"陕西","理科",NA,91,271.043641231593,30392,32,18529,0.60966701763622
"455",2011,10425,11.06,"山东","理科",0.059919028340081,40,408.536202514218,30392,34,27597,0.908035009212951
"456",2011,10708,1.05,"陕西","理科",NA,5,271.043641231593,30392,34,30392,1
"457",2011,10112,5.42,"山西","理科",NA,30,257.430800954643,30392,34,30392,1
