,UniversityNo,Distance,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Lowest,Label
141,10538,659.0,2704846,6737.0,401.4911681757,2015,62.15,0.0,0,6,558.0,26
142,10538,659.0,2450167,6690.6,366.21035482620005,2014,60.58,0.0,0,6,571.0,21
143,10538,659.0,2450167,6690.6,366.21035482620005,2014,60.58,0.0,1,94,544.0,31
144,10538,659.0,2704846,6737.0,401.4911681757,2015,62.15,0.0,1,94,554.0,34
145,10538,659.0,2704846,6737.0,401.4911681757,2015,62.15,0.0,1,94,545.0,34
146,10520,979.0,1963226,5758.0,340.9562348038,2012,5.87,0.049244713,0,100,586.0,18
147,10520,979.0,1296110,5720.0,226.5926573427,2010,5.94,0.0448559671,0,100,526.0,13
148,10520,979.0,1296110,5720.0,226.5926573427,2010,5.94,0.0448559671,0,100,332.0,13
149,10520,979.0,1963226,5758.0,340.9562348038,2012,5.87,0.049244713,1,125,574.0,18
150,10520,979.0,2466849,5799.0,425.3921365753,2014,62.06,0.0574675325,1,129,603.0,19
151,10520,979.0,2736704,5816.0,470.5474552957,2015,64.04,0.0580343214,1,126,599.0,21
152,10520,979.0,2736704,5816.0,470.5474552957,2015,64.04,0.0580343214,1,126,571.0,21
153,10520,979.0,2466849,5799.0,425.3921365753,2014,62.06,0.0574675325,0,118,596.0,12
154,10520,979.0,2225045,5779.0,385.0224952414,2013,5.13,0.0469586375,0,110,595.0,13
155,10520,979.0,1596761,5727.9143,278.7683118792,2011,5.78,0.0493927126,0,97,609.0,16
156,10520,979.0,1596761,5727.9143,278.7683118792,2011,5.78,0.0493927126,0,97,607.0,16
157,10520,979.0,2736704,5816.0,470.5474552957,2015,64.04,0.0580343214,0,113,611.0,15
158,10520,979.0,2736704,5816.0,470.5474552957,2015,64.04,0.0580343214,0,113,603.0,15
159,10520,979.0,1296110,5720.0,226.5926573427,2010,5.94,0.0448559671,1,125,549.0,19
160,10520,979.0,1296110,5720.0,226.5926573427,2010,5.94,0.0448559671,1,125,520.0,19
161,10520,979.0,1596761,5727.9143,278.7683118792,2011,5.78,0.0493927126,1,120,640.0,20
162,10520,979.0,1596761,5727.9143,278.7683118792,2011,5.78,0.0493927126,1,120,628.0,20
163,10520,979.0,2225045,5779.0,385.0224952414,2013,5.13,0.0469586375,1,136,592.0,17
164,10002,2124.0,2133083,2152.0,991.2095724907001,2015,78.71,0.5538221529,1,48,659.0,6
165,10002,2124.0,1950056,2114.8,922.0994893134,2014,72.36,0.5,1,37,651.0,4
166,10002,2124.0,1950056,2114.8,922.0994893134,2014,72.36,0.5,0,38,636.0,4
167,10002,2124.0,1411358,1961.9,719.3832509302,2011,35.65,0.4939271255,0,35,638.0,4
168,10002,2124.0,1411358,1961.9,719.3832509302,2011,35.65,0.4939271255,0,35,654.0,4
169,10002,2124.0,1787940,2069.3,864.0313149374001,2013,28.36,0.5571776156,0,39,629.0,4
170,10002,2124.0,1215300,1860.0,653.3870967742,2010,37.31,0.5390946502,0,37,582.0,2
171,10002,2124.0,1215300,1860.0,653.3870967742,2010,37.31,0.5390946502,0,37,557.0,2
172,10002,2124.0,1787940,2069.3,864.0313149374001,2013,28.36,0.5571776156,1,38,642.0,4
173,10002,2124.0,1625193,2018.6,805.1089864262,2012,36.61,0.5788519637,0,36,626.0,3
174,10002,2124.0,2133083,2152.0,991.2095724907001,2015,78.71,0.5538221529,0,44,646.0,4
175,10002,2124.0,1411358,1961.9,719.3832509302,2011,35.65,0.4939271255,1,34,673.0,4
176,10002,2124.0,1625193,2018.6,805.1089864262,2012,36.61,0.5788519637,1,34,629.0,4
177,10002,2124.0,1215300,1860.0,653.3870967742,2010,37.31,0.5390946502,1,36,639.0,4
178,10002,2124.0,1215300,1860.0,653.3870967742,2010,37.31,0.5390946502,1,36,549.0,4
179,10033,2140.0,1411358,1961.9,719.3832509302,2011,0.0,0.0,1,24,631.0,18
180,10033,2140.0,1411358,1961.9,719.3832509302,2011,0.0,0.0,1,24,651.0,18
181,10033,2140.0,2133083,2152.0,991.2095724907001,2015,0.0,0.1358814353,1,28,562.0,18
182,10033,2140.0,2133083,2152.0,991.2095724907001,2015,0.0,0.1358814353,1,28,611.0,18
183,10033,2140.0,1787940,2069.3,864.0313149374001,2013,0.0,0.0,1,26,614.0,13
184,10033,2140.0,1625193,2018.6,805.1089864262,2012,0.0,0.0,0,19,620.0,10
185,10033,2140.0,1950056,2114.8,922.0994893134,2014,0.0,0.1332792208,0,17,624.0,10
186,10033,2140.0,2133083,2152.0,991.2095724907001,2015,0.0,0.1358814353,0,21,618.0,14
187,10033,2140.0,2133083,2152.0,991.2095724907001,2015,0.0,0.1358814353,0,21,623.0,14
188,10033,2140.0,1411358,1961.9,719.3832509302,2011,0.0,0.0,0,13,627.0,10
189,10033,2140.0,1411358,1961.9,719.3832509302,2011,0.0,0.0,0,13,628.0,10
190,10033,2140.0,1787940,2069.3,864.0313149374001,2013,0.0,0.0,0,18,606.0,10
191,10033,2140.0,1625193,2018.6,805.1089864262,2012,0.0,0.0,1,26,586.0,15
192,10033,2140.0,1950056,2114.8,922.0994893134,2014,0.0,0.1332792208,1,25,597.0,31
193,10033,2140.0,1215300,1860.0,653.3870967742,2010,4.01,0.08930041150000001,1,15,553.0,16
194,10033,2140.0,1215300,1860.0,653.3870967742,2010,4.01,0.08930041150000001,1,15,594.0,16
195,10033,2140.0,1215300,1860.0,653.3870967742,2010,4.01,0.08930041150000001,0,9,550.0,9
196,10033,2140.0,1215300,1860.0,653.3870967742,2010,4.01,0.08930041150000001,0,9,558.0,9
197,10019,1398.0,1625193,2018.6,805.1089864262,2012,19.6,0.0921148036,1,43,586.0,18
198,10019,1398.0,1787940,2069.3,864.0313149374001,2013,18.1,0.1192214112,1,49,607.0,20
199,10019,1398.0,1215300,1860.0,653.3870967742,2010,20.76,0.1275720165,1,50,563.0,21
200,10019,1398.0,1625193,2018.6,805.1089864262,2012,19.6,0.0921148036,0,5,573.0,17
201,10019,1398.0,1950056,2114.8,922.0994893134,2014,67.05,0.125974026,0,5,604.0,17
202,10019,1398.0,2133083,2152.0,991.2095724907001,2015,68.46,0.1238689548,0,8,596.0,22
203,10019,1398.0,1411358,1961.9,719.3832509302,2011,20.0,0.1089068826,1,45,634.0,18
204,10019,1398.0,1787940,2069.3,864.0313149374001,2013,18.1,0.1192214112,0,6,601.0,16
205,10019,1398.0,1950056,2114.8,922.0994893134,2014,67.05,0.125974026,1,50,596.0,21
206,10019,1398.0,1411358,1961.9,719.3832509302,2011,20.0,0.1089068826,0,5,581.0,20
207,10019,1398.0,2133083,2152.0,991.2095724907001,2015,68.46,0.1238689548,1,49,594.0,21
208,10159,2248.0,2222670,4383.0,507.11156741959996,2012,4.19,0.0,1,37,564.0,23
209,10159,2248.0,1521250,4341.0,350.43768716889997,2010,4.21,0.0,1,19,549.0,22
210,10159,2248.0,2484643,4389.0,566.1068580542,2013,4.37,0.0,1,47,588.0,24
211,10159,2248.0,2707765,4390.0,616.8029612756,2014,61.85,0.0,1,35,576.0,31
212,10159,2248.0,2862658,4391.0,651.9375996356,2015,63.04,0.0,1,25,585.0,28
213,10159,2248.0,1845727,4375.0,421.8804571429,2011,3.96,0.0,1,37,626.0,24
214,11415,988.0,1787940,2069.3,864.0313149374001,2013,11.87,0.0360097324,1,34,591.0,25
215,11415,988.0,1411358,1961.9,719.3832509302,2011,11.82,0.0359919028,1,29,626.0,22
216,11415,988.0,2133083,2152.0,991.2095724907001,2015,65.81,0.0432137285,1,36,580.0,29
217,11415,988.0,1950056,2114.8,922.0994893134,2014,64.77,0.0558441558,1,35,580.0,27
218,10491,988.0,1596761,5727.9143,278.7683118792,2011,11.82,0.0359919028,0,16,600.0,22
219,11415,988.0,1625193,2018.6,805.1089864262,2012,11.85,0.036858006,1,29,561.0,23
220,11415,988.0,1411358,1961.9,719.3832509302,2011,11.82,0.0359919028,0,4,608.0,17
221,10491,988.0,1296110,5720.0,226.5926573427,2010,11.73,0.041563786,1,56,542.0,23
222,10491,988.0,1296110,5720.0,226.5926573427,2010,11.73,0.041563786,1,56,543.0,23
223,10491,988.0,2225045,5779.0,385.0224952414,2013,11.87,0.0360097324,1,84,578.0,26
224,10491,988.0,1596761,5727.9143,278.7683118792,2011,11.82,0.0359919028,1,49,626.0,22
225,10491,988.0,2466849,5799.0,425.3921365753,2014,64.77,0.0558441558,1,84,571.0,27
226,10491,988.0,1963226,5758.0,340.9562348038,2012,11.85,0.036858006,1,47,573.0,22
227,10491,988.0,2225045,5779.0,385.0224952414,2013,11.87,0.0360097324,0,15,573.0,19
228,10491,988.0,1296110,5720.0,226.5926573427,2010,11.73,0.041563786,0,12,523.0,18
229,10491,988.0,1296110,5720.0,226.5926573427,2010,11.73,0.041563786,0,12,307.0,18
230,11415,988.0,1625193,2018.6,805.1089864262,2012,11.85,0.036858006,0,4,597.0,17
231,10491,988.0,1963226,5758.0,340.9562348038,2012,11.85,0.036858006,0,14,584.0,20
232,11415,988.0,1215300,1860.0,653.3870967742,2010,11.73,0.041563786,0,4,523.0,15
233,11415,988.0,1215300,1860.0,653.3870967742,2010,11.73,0.041563786,1,27,540.0,23
234,10491,988.0,2466849,5799.0,425.3921365753,2014,64.77,0.0558441558,0,15,595.0,19
235,10053,2154.0,2133083,2152.0,991.2095724907001,2015,64.35,0.1934477379,0,56,624.0,13
236,10053,2154.0,2133083,2152.0,991.2095724907001,2015,64.35,0.1934477379,0,56,615.0,13
237,10053,2154.0,1787940,2069.3,864.0313149374001,2013,5.8,0.16909975670000002,1,42,639.0,9
238,10053,2154.0,1215300,1860.0,653.3870967742,2010,6.2,0.1930041152,1,39,576.0,11
239,10053,2154.0,1787940,2069.3,864.0313149374001,2013,5.8,0.16909975670000002,0,55,618.0,18
240,10053,2154.0,2133083,2152.0,991.2095724907001,2015,64.35,0.1934477379,1,49,624.0,17
241,10053,2154.0,2133083,2152.0,991.2095724907001,2015,64.35,0.1934477379,1,49,624.0,17
242,10053,2154.0,1411358,1961.9,719.3832509302,2011,5.85,0.17004048579999995,0,48,627.0,9
243,10053,2154.0,1950056,2114.8,922.0994893134,2014,62.39,0.1655844156,1,42,616.0,31
244,10053,2154.0,1625193,2018.6,805.1089864262,2012,6.45,0.167673716,0,43,623.0,9
245,10053,2154.0,1215300,1860.0,653.3870967742,2010,6.2,0.1930041152,0,48,547.0,7
246,10053,2154.0,1215300,1860.0,653.3870967742,2010,6.2,0.1930041152,0,48,523.0,7
247,10053,2154.0,1950056,2114.8,922.0994893134,2014,62.39,0.1655844156,0,55,599.0,12
