,Unnamed: 0,Label,UniversityNo,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Label.1,Lowest,Highest,ave,Plan,NO
1287,1287,24,10216,燕山大学,2399.0,河北,1723548,7034.4,245.0170590242,2010,5.29,0.0,理科,5,24,543.0,570.0,555.0,32.0,第一批
1288,1288,22,10216,燕山大学,2399.0,河北,2039426,7193.6,283.5056161032,2011,5.1,0.0,理科,5,22,624.0,635.0,629.0,5.0,第一批
1289,1289,24,10216,燕山大学,2399.0,河北,2451576,7240.51,338.5916185462,2012,4.84,0.0,理科,5,24,573.0,577.0,575.0,5.0,第一批
1290,1290,31,10216,燕山大学,2399.0,河北,2830141,7332.61,385.96638850290003,2014,61.91,0.0,理科,10,31,574.0,594.0,587.0,5.0,第一批
1291,1291,23,10216,燕山大学,2399.0,河北,2657501,7287.51,364.6651599792,2013,4.36,0.0,理科,5,23,587.0,598.0,590.0,5.0,第一批
1292,1292,17,10614,电子科技大学,1642.0,四川,2387280,8076.2,295.5944627424,2013,10.06,0.0574209246,理科,150,17,594.0,634.0,614.0,132.0,第一批
1293,1293,18,10614,电子科技大学,1642.0,四川,2626077,8107.0,323.927100037,2014,64.47,0.0637987013,理科,135,18,586.0,628.0,611.0,153.0,第一批
1294,1294,18,10614,电子科技大学,1642.0,四川,2102668,8050.0,261.2009937888,2012,10.42,0.0598187311,理科,130,18,570.0,632.0,595.0,121.0,第一批
1295,1295,19,10614,电子科技大学,1642.0,四川,2853666,8140.0,350.5732186732,2015,65.89,0.0569422777,理科,135,19,605.0,,605.0,,第一批
1296,1296,19,10614,电子科技大学,1642.0,四川,1415128,8185.0,172.8928527795,2010,9.79,0.0382716049,理科,120,19,567.0,602.0,582.0,148.0,第一批
1297,1297,18,10614,电子科技大学,1642.0,四川,1718548,8044.92,213.6190291513,2011,10.02,0.06720647769999999,理科,120,18,638.0,667.0,643.0,130.0,第一批
1298,1298,26,10107,石家庄铁道大学,1850.0,河北,2657501,7287.51,364.6651599792,2013,1.0,0.0,理科,5,26,523.0,574.0,559.0,23.0,第二批
1299,1299,26,10107,石家庄铁道大学,1850.0,黑龙江,1369158,3834.04,357.1058204922,2013,1.0,0.0,理科,5,26,523.0,574.0,559.0,23.0,第二批
1300,1300,24,10107,石家庄铁道大学,1850.0,黑龙江,1258200,3834.01,328.1681581425,2012,0.0,0.0,理科,5,24,523.0,574.0,551.0,21.0,第二批
1301,1301,24,10107,石家庄铁道大学,1850.0,河北,2451576,7240.51,338.5916185462,2012,0.0,0.0,理科,5,24,523.0,574.0,551.0,21.0,第二批
1302,1302,31,10107,石家庄铁道大学,1850.0,黑龙江,1438293,3835.02,375.0418511507,2014,60.41,0.0,理科,10,31,547.0,573.0,556.0,24.0,第二批
1303,1303,31,10107,石家庄铁道大学,1850.0,河北,2830141,7332.61,385.96638850290003,2014,60.41,0.0,理科,10,31,547.0,573.0,556.0,24.0,第二批
1304,1304,34,10107,石家庄铁道大学,1850.0,黑龙江,1503938,3833.0,392.36577093660003,2015,61.81,0.0,理科,13,34,537.0,,537.0,,第二批
1305,1305,34,10107,石家庄铁道大学,1850.0,河北,2942115,7384.0,398.4446099675,2015,61.81,0.0,理科,13,34,537.0,,537.0,,第二批
1306,1306,20,10386,福州大学,1460.0,福建,1473712,3693.0,399.0555104251,2011,5.8,0.0269635628,理科,10,20,627.0,651.0,632.0,10.0,第一批
1307,1307,20,10386,福州大学,1460.0,福建,1970178,3748.0,525.6611526147,2013,6.4,0.025790754300000003,理科,16,20,597.0,611.0,602.0,14.0,第一批
1308,1308,22,10386,福州大学,1460.0,福建,2405576,3806.0,632.0483447189,2015,63.96,0.0,文科,4,22,586.0,,588.0,,第一批
1309,1309,19,10386,福州大学,1460.0,福建,1970178,3748.0,525.6611526147,2013,6.4,0.025790754300000003,文科,6,19,591.0,595.0,592.0,4.0,第一批
1310,1310,23,10386,福州大学,1460.0,福建,1223653,3666.0,333.784233497,2010,5.7,0.033703703700000004,理科,10,23,546.0,568.0,554.0,23.0,第一批
1311,1311,19,10386,福州大学,1460.0,福建,2175964,3774.0,576.5670376259,2014,62.93,0.0,文科,7,19,594.0,603.0,597.0,6.0,第一批
1312,1312,27,10386,福州大学,1460.0,福建,2405576,3806.0,632.0483447189,2015,63.96,0.0,理科,20,27,560.0,,582.0,,第一批
1313,1313,31,10386,福州大学,1460.0,福建,2175964,3774.0,576.5670376259,2014,62.93,0.0,理科,35,31,595.0,607.0,599.0,16.0,第一批
1314,1314,21,10386,福州大学,1460.0,福建,1756018,3720.0,472.0478494624,2012,5.91,0.0263746224,理科,16,21,580.0,599.0,586.0,10.0,第一批
1315,1315,23,10386,福州大学,1460.0,福建,1473712,3693.0,399.0555104251,2011,5.8,0.0269635628,文科,4,23,587.0,598.0,591.0,6.0,第一批
1316,1316,21,10386,福州大学,1460.0,福建,1756018,3720.0,472.0478494624,2012,5.91,0.0263746224,文科,4,21,581.0,585.0,583.0,3.0,第一批
1317,1317,26,10394,福建师范大学,907.0,福建,2405576,3806.0,632.0483447189,2015,63.41,0.0365054602,文科,32,26,563.0,,563.0,,第二批
1318,1318,34,10394,福建师范大学,907.0,福建,2405576,3806.0,632.0483447189,2015,63.41,0.0365054602,理科,52,34,537.0,,537.0,,第二批
1319,1319,20,10285,苏州大学,1422.0,江苏,5405822,7919.98,682.5550064519999,2013,8.82,0.0274939173,理科,33,20,591.0,613.0,601.0,26.0,第一批
1320,1320,19,10285,苏州大学,1422.0,江苏,4142548,7869.34,526.4161924634,2011,8.57,0.0274898785,理科,24,19,624.0,646.0,631.0,24.0,第一批
1321,1321,20,10285,苏州大学,1422.0,江苏,4142548,7869.34,526.4161924634,2011,8.57,0.0274898785,文科,6,20,610.0,617.0,612.0,6.0,第一批
1322,1322,23,10285,苏州大学,1422.0,江苏,6508832,7960.0,817.6924623116,2015,65.14,0.0566302652,理科,34,23,595.0,,595.0,,第一批
1323,1323,13,10285,苏州大学,1422.0,江苏,5916175,7939.49,745.1580643089,2014,63.79,0.0498376623,文科,11,13,613.0,620.0,616.0,10.0,第一批
1324,1324,17,10285,苏州大学,1422.0,江苏,6508832,7960.0,817.6924623116,2015,65.14,0.0566302652,文科,12,17,609.0,,609.0,,第一批
1325,1325,13,10285,苏州大学,1422.0,江苏,5405822,7919.98,682.5550064519999,2013,8.82,0.0274939173,文科,10,13,603.0,613.0,608.0,8.0,第一批
