"","X","Year","Province","University_Name_Location","University_Name","Topic","Plan_Number","Lowest_Ranking","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person"
"102",102,2010,"广东","广东外语外贸大学","广东外语外贸大学","理科",1909,17940,1.5,NA,3948256,10130.1854628636,61.5,389.751600745512
"103",103,2010,"广东","汕头大学（汕头大学医）","汕头大学","理科",246,29092,1.81,NA,3948256,10130.1854628636,61.5,389.751600745512
"104",104,2010,"广东","华南师范大学","华南师范大学","理科",1946,22895,6.53,0.0477366255144033,3948256,10130.1854628636,61.5,389.751600745512
"105",105,2010,"广东","广州中医药大学","广州中医药大学","理科",1808,29545,2.95,NA,3948256,10130.1854628636,61.5,389.751600745512
"106",106,2010,"广东","华南师范大学","华南师范大学","文科",1347,9417,6.53,0.0477366255144033,3948256,10130.1854628636,61.5,389.751600745512
"107",107,2010,"广东","广州中医药大学","广州中医药大学","文科",576,10830,2.95,NA,3948256,10130.1854628636,61.5,389.751600745512
"108",108,2010,"广东","广州医科大学","广州医科大学","理科",408,29506,1.31,NA,3948256,10130.1854628636,61.5,389.751600745512
"109",109,2010,"广东","汕头大学","汕头大学","文科",354,10851,1.81,NA,3948256,10130.1854628636,61.5,389.751600745512
"110",110,2010,"广东","中山大学","中山大学","文科",940,2697,32.72,0.226748971193416,3948256,10130.1854628636,61.5,389.751600745512
"111",111,2010,"广东","暨南大学","暨南大学","文科",649,4081,7.1,0.0650205761316872,3948256,10130.1854628636,61.5,389.751600745512
"112",112,2010,"广东","南方医科大学","南方医科大学","文科",200,10673,5.29,NA,3948256,10130.1854628636,61.5,389.751600745512
"113",113,2010,"广东","汕头大学","汕头大学","理科",640,29498,1.81,NA,3948256,10130.1854628636,61.5,389.751600745512
"114",114,2010,"广东","南方医科大学","南方医科大学","理科",1693,29546,5.29,NA,3948256,10130.1854628636,61.5,389.751600745512
"115",115,2010,"广东","华南农业大学","华南农业大学","理科",5457,29550,5.58,0.0346090534979424,3948256,10130.1854628636,61.5,389.751600745512
"116",116,2010,"广东","暨南大学","暨南大学","理科",1253,12674,7.1,0.0650205761316872,3948256,10130.1854628636,61.5,389.751600745512
"117",117,2010,"广东","华南农业大学","华南农业大学","文科",1608,10869,5.58,0.0346090534979424,3948256,10130.1854628636,61.5,389.751600745512
"118",118,2010,"广西","广西医科大学","广西医科大学","理科",12,28884,0.96,NA,775916,4856,61.5,159.785008237232
"119",119,2010,"广西","广西大学","广西大学","理科",15,29340,5.27,0.0269135802469136,775916,4856,61.5,159.785008237232
"120",120,2010,"江苏","南京大学","南京大学","文科",17,267,43.99,0.155555555555556,3445730,7810.269,61.5,441.179426726531
"121",121,2010,"江苏","中国矿业大学","中国矿业大学","文科",12,7822,10.77,NA,3445730,7810.269,61.5,441.179426726531
"122",122,2010,"江苏","河海大学","河海大学","文科",11,9137,8.16,NA,3445730,7810.269,61.5,441.179426726531
"123",123,2010,"江苏","河海大学","河海大学","理科",77,25777,8.16,NA,3445730,7810.269,61.5,441.179426726531
"124",124,2010,"江苏","东南大学","东南大学","理科",40,9234,19.43,0.0761316872427984,3445730,7810.269,61.5,441.179426726531
"125",125,2010,"江苏","江南大学","江南大学","理科",27,29069,5.45,NA,3445730,7810.269,61.5,441.179426726531
"126",126,2010,"江苏","南京理工大学","南京理工大学","理科",42,14372,11.48,NA,3445730,7810.269,61.5,441.179426726531
"127",127,2010,"江苏","江苏大学","江苏大学","理科",40,26621,3.29,NA,3445730,7810.269,61.5,441.179426726531
"128",128,2010,"江苏","南京邮电大学","南京邮电大学","文科",3,9732,1.48,NA,3445730,7810.269,61.5,441.179426726531
"129",129,2010,"江苏","南京信息工程大学","南京信息工程大学","文科",8,10522,1.12,NA,3445730,7810.269,61.5,441.179426726531
"130",130,2010,"江苏","南京农业大学","南京农业大学","文科",10,9399,8.61,NA,3445730,7810.269,61.5,441.179426726531
"131",131,2010,"江苏","中国药科大学","中国药科大学","理科",25,28197,3.49,NA,3445730,7810.269,61.5,441.179426726531
"132",132,2010,"江苏","南京航空航天大学","南京航空航天大学","理科",40,12011,11.01,0.0267489711934156,3445730,7810.269,61.5,441.179426726531
"133",133,2010,"江苏","中国矿业大学","中国矿业大学","理科",81,29486,10.77,NA,3445730,7810.269,61.5,441.179426726531
"134",134,2010,"江苏","苏州大学","苏州大学","文科",6,5309,9.13,0.0335802469135802,3445730,7810.269,61.5,441.179426726531
"135",135,2010,"江苏","南京信息工程大学","南京信息工程大学","理科",17,29252,1.12,NA,3445730,7810.269,61.5,441.179426726531
"136",136,2010,"江苏","南京工业大学","南京工业大学","理科",40,24600,5.43,NA,3445730,7810.269,61.5,441.179426726531
"137",137,2010,"江苏","南京农业大学","南京农业大学","理科",59,27677,8.61,NA,3445730,7810.269,61.5,441.179426726531
