,UniversityNo,University_Name,University_Name_Pinyin,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Student_Population,X1A_Number,Ranking_Scores,Media_Impact,Topic,Plan_Number,Plan_Number_Total,Lowest_Ranking,Label,Ranking_Percentage
66,10224,东北农业大学,dongbeinongyedaxue,东北农业大学,3301.0,黑龙江,1438293,3835.02,375.0418511507,2014,75.6,14000,61.33,0.0,文科,12,13299.0,14000,11,1.0
67,10224,东北农业大学,dongbeinongyedaxue,东北农业大学,3301.0,黑龙江,1369158,3834.04,357.1058204922,2013,72.7,40420,3.35,0.0,理科,79,35561.0,40420,13,1.0
68,10224,东北农业大学,dongbeinongyedaxue,东北农业大学,3301.0,黑龙江,1369158,3834.04,357.1058204922,2013,72.7,12924,3.35,0.0,文科,21,10697.0,12924,12,1.0
69,10224,东北农业大学,dongbeinongyedaxue,东北农业大学,3301.0,黑龙江,1438293,3835.02,375.0418511507,2014,75.6,43106,61.33,0.0,理科,34,40651.0,43106,15,1.0
70,10224,东北农业大学,dongbeinongyedaxue,东北农业大学,3301.0,黑龙江,1503938,3833.0,392.36577093660003,2015,75.4,51000,62.94,0.0,理科,24,46267.0,51000,15,1.0
71,19145,东北大学,dongbeidaxue,东北大学秦皇岛分校,2760.0,河北,1723548,7034.4,245.0170590242,2010,61.5,29550,16.2,0.0465020576,理科,40,17574.0,28230,11,0.9553299492
72,19145,东北大学,dongbeidaxue,东北大学秦皇岛分校,2760.0,河北,2039426,7193.6,283.5056161032,2011,65.5,30392,15.08,0.0393522267,理科,40,28810.0,30392,13,1.0
73,19145,东北大学,dongbeidaxue,东北大学秦皇岛分校,2760.0,河北,2451576,7240.51,338.5916185462,2012,69.2,29207,14.97,0.032326284,理科,46,27731.0,29207,12,1.0
74,10145,东北大学,dongbeidaxue,东北大学,2760.0,辽宁,2222670,4383.0,507.11156741959996,2012,69.2,29207,14.97,0.032326284,理科,92,16917.0,23386,11,0.8006984627
75,10145,东北大学,dongbeidaxue,东北大学,2760.0,辽宁,1521250,4341.0,350.43768716889997,2010,61.5,29550,16.2,0.0465020576,理科,42,17574.0,22866,11,0.7738071066
76,60145,东北大学,dongbeidaxue,东北大学(中外合作办学专业),2760.0,辽宁,2862658,4391.0,651.9375996356,2015,75.4,51000,67.0,0.035725428999999996,理科,15,46267.0,51000,15,1.0
77,10145,东北大学,dongbeidaxue,东北大学,2760.0,辽宁,1845727,4375.0,421.8804571429,2011,65.5,30392,15.08,0.0393522267,理科,50,17659.0,23179,12,0.7626678073000001
78,10145,东北大学,dongbeidaxue,东北大学,2760.0,辽宁,2862658,4391.0,651.9375996356,2015,75.4,51000,67.0,0.035725428999999996,理科,114,13301.0,20863,11,0.4090784314
79,19145,东北大学,dongbeidaxue,东北大学秦皇岛分校,2760.0,河北,2830141,7332.61,385.96638850290003,2014,75.6,43106,65.8,0.0402597403,理科,67,40651.0,43106,15,1.0
80,19145,东北大学,dongbeidaxue,东北大学秦皇岛分校,2760.0,河北,2657501,7287.51,364.6651599792,2013,72.7,40420,13.67,0.031630170299999996,理科,60,35561.0,40420,13,1.0
81,19145,东北大学,dongbeidaxue,东北大学秦皇岛分校,2760.0,河北,2942115,7384.0,398.4446099675,2015,75.4,51000,67.0,0.035725428999999996,理科,67,46267.0,50561,15,0.9913921568999999
82,10145,东北大学,dongbeidaxue,东北大学,2760.0,辽宁,2484643,4389.0,566.1068580542,2013,72.7,40420,13.67,0.031630170299999996,理科,119,17968.0,23508,11,0.5815932707
83,10145,东北大学,dongbeidaxue,东北大学,2760.0,辽宁,2707765,4390.0,616.8029612756,2014,75.6,43106,65.8,0.0402597403,理科,126,20704.0,24234,13,0.562195518
84,10200,东北师范大学,dongbeishifandaxue,东北师范大学,3052.0,吉林,1193924,2750.4,434.0910413031,2013,72.7,40420,12.73,0.0250608273,理科,22,35561.0,40420,13,1.0
85,10200,东北师范大学,dongbeishifandaxue,东北师范大学,3052.0,吉林,866758,2746.6,315.5748925945,2011,65.5,10919,10.81,0.0,文科,10,10967.0,10919,11,1.0
86,10200,东北师范大学,dongbeishifandaxue,东北师范大学,3052.0,吉林,1298146,2751.28,471.833473874,2014,75.6,43106,65.27,0.0451298701,理科,17,20704.0,29922,13,0.6941493064
87,10200,东北师范大学,dongbeishifandaxue,东北师范大学,3052.0,吉林,727875,2739.55,265.6914456754,2010,61.5,29550,10.93,0.03,理科,6,17574.0,26157,11,0.885177665
88,10200,东北师范大学,dongbeishifandaxue,东北师范大学,3052.0,吉林,1056883,2749.41,384.40356294620005,2012,69.2,10000,11.08,0.0248338369,文科,4,10507.0,10000,11,1.0
89,10200,东北师范大学,dongbeishifandaxue,东北师范大学,3052.0,吉林,866758,2746.6,315.5748925945,2011,65.5,30392,10.81,0.0,理科,9,28810.0,30392,13,1.0
90,10200,东北师范大学,dongbeishifandaxue,东北师范大学,3052.0,吉林,1056883,2749.41,384.40356294620005,2012,69.2,29207,11.08,0.0248338369,理科,8,27731.0,29207,12,1.0
91,10200,东北师范大学,dongbeishifandaxue,东北师范大学,3052.0,吉林,727875,2739.55,265.6914456754,2010,61.5,10869,10.93,0.03,文科,4,11175.0,10464,9,0.9627380623999999
92,10200,东北师范大学,dongbeishifandaxue,东北师范大学,3052.0,吉林,1193924,2750.4,434.0910413031,2013,72.7,12924,12.73,0.0250608273,文科,13,10697.0,10176,12,0.7873723305
93,10200,东北师范大学,dongbeishifandaxue,东北师范大学,3052.0,吉林,1298146,2751.28,471.833473874,2014,75.6,14000,65.27,0.0451298701,文科,13,13299.0,12062,11,0.8615714286
94,10200,东北师范大学,dongbeishifandaxue,东北师范大学,3052.0,吉林,1380381,2752.0,501.5919331395,2015,75.4,16964,66.34,0.0453978159,文科,17,10855.0,11435,11,0.6740745106999999
95,10200,东北师范大学,dongbeishifandaxue,东北师范大学,3052.0,吉林,1380381,2752.0,501.5919331395,2015,75.4,51000,66.34,0.0453978159,理科,25,24731.0,40295,14,0.7900980392
96,10225,东北林业大学,dongbeilinyedaxue,东北林业大学,3294.0,黑龙江,1258200,3834.01,328.1681581425,2012,69.2,10000,5.02,0.0,文科,3,10507.0,10000,11,1.0
97,10225,东北林业大学,dongbeilinyedaxue,东北林业大学,3294.0,黑龙江,1036860,3833.35,270.4840413737,2011,65.5,10919,5.11,0.0,文科,3,10967.0,10919,11,1.0
98,10225,东北林业大学,dongbeilinyedaxue,东北林业大学,3294.0,黑龙江,1503938,3833.0,392.36577093660003,2015,75.4,16964,63.42,0.0,文科,6,14945.0,16964,12,1.0
99,10225,东北林业大学,dongbeilinyedaxue,东北林业大学,3294.0,黑龙江,1438293,3835.02,375.0418511507,2014,75.6,43106,61.89,0.0,理科,16,40651.0,43106,15,1.0
100,10225,东北林业大学,dongbeilinyedaxue,东北林业大学,3294.0,黑龙江,1503938,3833.0,392.36577093660003,2015,75.4,51000,63.42,0.0,理科,24,46267.0,51000,15,1.0
101,10225,东北林业大学,dongbeilinyedaxue,东北林业大学,3294.0,黑龙江,1369158,3834.04,357.1058204922,2013,72.7,40420,4.21,0.0,理科,26,35561.0,40420,13,1.0
102,10225,东北林业大学,dongbeilinyedaxue,东北林业大学,3294.0,黑龙江,858700,3826.01,224.4374687991,2010,61.5,10869,5.46,0.0,文科,3,6591.0,6129,7,0.5638973227
103,10225,东北林业大学,dongbeilinyedaxue,东北林业大学,3294.0,黑龙江,1036860,3833.35,270.4840413737,2011,65.5,30392,5.11,0.0,理科,19,28810.0,30392,13,1.0
