,UniversityNo,Year,Topic,Lowest,GDP,Population,GDP_Per_Person,Plan_Number,Ranking_Scores,Media_Impact,Distance,Last_Ranking,Average_Ranking
149,10520,2012,1,574.0,1963226,5758.0,340.9562348038,125,5.87,0.049244712999999996,979.0,21193.0,17364.0
150,10520,2014,1,603.0,2466849,5799.0,425.3921365753,129,62.06,0.0574675325,979.0,14695.0,16293.75
151,10520,2015,1,599.0,2736704,5816.0,470.5474552957,126,64.04,0.0580343214,979.0,14841.0,16003.2
152,10520,2015,1,,2736704,5816.0,470.5474552957,126,64.04,0.0580343214,979.0,14841.0,16003.2
153,10520,2014,0,596.0,2466849,5799.0,425.3921365753,118,62.06,0.0574675325,979.0,3947.0,4501.75
154,10520,2013,0,595.0,2225045,5779.0,385.0224952414,110,5.13,0.0469586375,979.0,7078.0,4686.666666666667
155,10520,2011,0,609.0,1596761,5727.9143,278.7683118792,97,5.78,0.0493927126,979.0,3251.0,3251.0
156,10520,2011,0,,1596761,5727.9143,278.7683118792,97,5.78,0.0493927126,979.0,3251.0,3251.0
157,10520,2015,0,611.0,2736704,5816.0,470.5474552957,113,64.04,0.0580343214,979.0,3295.0,4260.4
158,10520,2015,0,,2736704,5816.0,470.5474552957,113,64.04,0.0580343214,979.0,3295.0,4260.4
159,10520,2010,1,549.0,1296110,5720.0,226.5926573427,125,5.94,0.0448559671,979.0,0.0,0.0
160,10520,2010,1,520.0,1296110,5720.0,226.5926573427,125,5.94,0.0448559671,979.0,0.0,0.0
161,10520,2011,1,640.0,1596761,5727.9143,278.7683118792,120,5.78,0.0493927126,979.0,13535.0,13535.0
162,10520,2011,1,,1596761,5727.9143,278.7683118792,120,5.78,0.0493927126,979.0,13535.0,13535.0
163,10520,2013,1,592.0,2225045,5779.0,385.0224952414,136,5.13,0.0469586375,979.0,15752.0,16826.666666666668
164,10002,2015,1,659.0,2133083,2152.0,991.2095724907001,48,78.71,0.5538221529,2124.0,529.0,611.6
165,10002,2014,1,651.0,1950056,2114.8,922.0994893134,37,72.36,0.5,2124.0,613.0,632.25
166,10002,2014,0,636.0,1950056,2114.8,922.0994893134,38,72.36,0.5,2124.0,139.0,133.75
167,10002,2011,0,638.0,1411358,1961.9,719.3832509302,35,35.65,0.49392712549999995,2124.0,107.0,107.0
168,10002,2011,0,,1411358,1961.9,719.3832509302,35,35.65,0.49392712549999995,2124.0,107.0,107.0
169,10002,2013,0,629.0,1787940,2069.3,864.0313149374001,39,28.36,0.5571776156,2124.0,176.0,132.0
170,10002,2010,0,582.0,1215300,1860.0,653.3870967742,37,37.31,0.5390946502,2124.0,0.0,0.0
171,10002,2010,0,557.0,1215300,1860.0,653.3870967742,37,37.31,0.5390946502,2124.0,0.0,0.0
172,10002,2013,1,642.0,1787940,2069.3,864.0313149374001,38,28.36,0.5571776156,2124.0,772.0,638.6666666666666
173,10002,2012,0,626.0,1625193,2018.6,805.1089864262,36,36.61,0.5788519637,2124.0,113.0,110.0
174,10002,2015,0,646.0,2133083,2152.0,991.2095724907001,44,78.71,0.5538221529,2124.0,160.0,139.0
175,10002,2011,1,673.0,1411358,1961.9,719.3832509302,34,35.65,0.49392712549999995,2124.0,519.0,519.0
176,10002,2012,1,629.0,1625193,2018.6,805.1089864262,34,36.61,0.5788519637,2124.0,625.0,572.0
177,10002,2010,1,639.0,1215300,1860.0,653.3870967742,36,37.31,0.5390946502,2124.0,0.0,0.0
178,10002,2010,1,549.0,1215300,1860.0,653.3870967742,36,37.31,0.5390946502,2124.0,0.0,0.0
179,10033,2011,1,631.0,1411358,1961.9,719.3832509302,24,0.0,0.0,2140.0,9736.0,9736.0
180,10033,2011,1,,1411358,1961.9,719.3832509302,24,0.0,0.0,2140.0,9736.0,9736.0
181,10033,2015,1,562.0,2133083,2152.0,991.2095724907001,28,0.0,0.1358814353,2140.0,43106.0,17962.0
182,10033,2015,1,,2133083,2152.0,991.2095724907001,28,0.0,0.1358814353,2140.0,43106.0,17962.0
183,10033,2013,1,614.0,1787940,2069.3,864.0313149374001,26,0.0,0.0,2140.0,11180.0,12520.333333333334
184,10033,2012,0,620.0,1625193,2018.6,805.1089864262,19,0.0,0.0,2140.0,1111.0,1380.5
185,10033,2014,0,624.0,1950056,2114.8,922.0994893134,17,0.0,0.13327922080000001,2140.0,2074.0,1579.75
186,10033,2015,0,618.0,2133083,2152.0,991.2095724907001,21,0.0,0.1358814353,2140.0,1778.0,1619.4
187,10033,2015,0,,2133083,2152.0,991.2095724907001,21,0.0,0.1358814353,2140.0,1778.0,1619.4
188,10033,2011,0,627.0,1411358,1961.9,719.3832509302,13,0.0,0.0,2140.0,1650.0,1650.0
189,10033,2011,0,,1411358,1961.9,719.3832509302,13,0.0,0.0,2140.0,1650.0,1650.0
190,10033,2013,0,606.0,1787940,2069.3,864.0313149374001,18,0.0,0.0,2140.0,1484.0,1415.0
191,10033,2012,1,586.0,1625193,2018.6,805.1089864262,26,0.0,0.0,2140.0,16645.0,13190.5
192,10033,2014,1,597.0,1950056,2114.8,922.0994893134,25,0.0,0.13327922080000001,2140.0,9143.0,11676.0
193,10033,2010,1,553.0,1215300,1860.0,653.3870967742,15,4.01,0.08930041150000001,2140.0,0.0,0.0
194,10033,2010,1,594.0,1215300,1860.0,653.3870967742,15,4.01,0.08930041150000001,2140.0,0.0,0.0
195,10033,2010,0,550.0,1215300,1860.0,653.3870967742,9,4.01,0.08930041150000001,2140.0,0.0,0.0
196,10033,2010,0,558.0,1215300,1860.0,653.3870967742,9,4.01,0.08930041150000001,2140.0,0.0,0.0
197,10019,2012,1,586.0,1625193,2018.6,805.1089864262,43,19.6,0.09211480359999999,1398.0,16868.0,17572.0
198,10019,2013,1,607.0,1787940,2069.3,864.0313149374001,49,18.1,0.11922141119999999,1398.0,14354.0,16499.333333333332
199,10019,2010,1,563.0,1215300,1860.0,653.3870967742,50,20.76,0.1275720165,1398.0,0.0,0.0
200,10019,2012,0,573.0,1625193,2018.6,805.1089864262,5,19.6,0.09211480359999999,1398.0,7098.0,7098.0
201,10019,2014,0,604.0,1950056,2114.8,922.0994893134,5,67.05,0.125974026,1398.0,6739.0,6527.0
202,10019,2015,0,,2133083,2152.0,991.2095724907001,8,68.46,0.1238689548,1398.0,7341.0,6730.5
203,10019,2011,1,634.0,1411358,1961.9,719.3832509302,45,20.0,0.1089068826,1398.0,18276.0,18276.0
204,10019,2013,0,601.0,1787940,2069.3,864.0313149374001,6,18.1,0.11922141119999999,1398.0,5744.0,6421.0
205,10019,2014,1,596.0,1950056,2114.8,922.0994893134,50,67.05,0.125974026,1398.0,19521.0,17254.75
207,10019,2015,1,594.0,2133083,2152.0,991.2095724907001,49,68.46,0.1238689548,1398.0,17050.0,17213.8
208,10159,2012,1,564.0,2222670,4383.0,507.11156741959996,37,4.19,0.0,2248.0,30392.0,26304.5
209,10159,2010,1,549.0,1521250,4341.0,350.43768716889997,19,4.21,0.0,2248.0,0.0,0.0
210,10159,2013,1,588.0,2484643,4389.0,566.1068580542,47,4.37,0.0,2248.0,25164.0,25924.333333333332
211,10159,2014,1,576.0,2707765,4390.0,616.8029612756,35,61.85,0.0,2248.0,28119.0,26473.0
212,10159,2015,1,,2862658,4391.0,651.9375996356,25,63.04,0.0,2248.0,43106.0,29799.6
213,10159,2011,1,626.0,1845727,4375.0,421.8804571429,37,3.96,0.0,2248.0,22217.0,22217.0
214,11415,2013,1,591.0,1787940,2069.3,864.0313149374001,34,11.87,0.0360097324,988.0,23997.0,24093.333333333332
215,11415,2011,1,626.0,1411358,1961.9,719.3832509302,29,11.82,0.035991902799999996,988.0,24446.0,24446.0
216,11415,2015,1,,2133083,2152.0,991.2095724907001,36,65.81,0.0432137285,988.0,29339.0,26555.8
217,11415,2014,1,580.0,1950056,2114.8,922.0994893134,35,64.77,0.0558441558,988.0,31160.0,25860.0
218,10491,2011,0,600.0,1596761,5727.9143,278.7683118792,16,11.82,0.035991902799999996,988.0,8538.0,8538.0
219,11415,2012,1,561.0,1625193,2018.6,805.1089864262,29,11.85,0.036858006,988.0,23837.0,24141.5
220,11415,2011,0,608.0,1411358,1961.9,719.3832509302,4,11.82,0.035991902799999996,988.0,5563.0,5563.0
221,10491,2010,1,542.0,1296110,5720.0,226.5926573427,56,11.73,0.041563786,988.0,0.0,0.0
222,10491,2010,1,543.0,1296110,5720.0,226.5926573427,56,11.73,0.041563786,988.0,0.0,0.0
223,10491,2013,1,578.0,2225045,5779.0,385.0224952414,84,11.87,0.0360097324,988.0,22208.0,23993.666666666668
224,10491,2011,1,626.0,1596761,5727.9143,278.7683118792,49,11.82,0.035991902799999996,988.0,24313.0,24313.0
225,10491,2014,1,571.0,2466849,5799.0,425.3921365753,84,64.77,0.0558441558,988.0,40420.0,28100.25
226,10491,2012,1,573.0,1963226,5758.0,340.9562348038,47,11.85,0.036858006,988.0,25460.0,24886.5
227,10491,2013,0,573.0,2225045,5779.0,385.0224952414,15,11.87,0.0360097324,988.0,8800.0,8807.666666666666
228,10491,2010,0,523.0,1296110,5720.0,226.5926573427,12,11.73,0.041563786,988.0,0.0,0.0
229,10491,2010,0,307.0,1296110,5720.0,226.5926573427,12,11.73,0.041563786,988.0,0.0,0.0
230,11415,2012,0,597.0,1625193,2018.6,805.1089864262,4,11.85,0.036858006,988.0,4835.0,5199.0
231,10491,2012,0,584.0,1963226,5758.0,340.9562348038,14,11.85,0.036858006,988.0,9085.0,8811.5
232,11415,2010,0,523.0,1215300,1860.0,653.3870967742,4,11.73,0.041563786,988.0,0.0,0.0
