Label,University_Name,UniversityNo,Year,Topic,Province,University_Name_Location,Plan_Number,Ranking_Scores,Media_Impact,GDP,Population,GDP_Per_Person,Distance
8689,哈尔滨工业大学,10213,2013,文科,黑龙江,哈尔滨工业大学,6,25.8,0.0472019465,1369158,3834.04,357.1058204922,3297
8698,哈尔滨工业大学,19213,2013,理科,山东,哈尔滨工业大学(威海),30,25.8,0.0472019465,5001324,9684.87,516.4058990983,3297
8708,哈尔滨工业大学,10213,2010,理科,黑龙江,哈尔滨工业大学,63,28.32,0.0555555556,858700,3826.01,224.4374687991,3297
8722,哈尔滨工业大学,19213,2012,理科,山东,哈尔滨工业大学(威海),25,27.27,0.0424773414,4536185,9637.27,470.691907563,3297
8727,哈尔滨工业大学,19213,2015,理科,山东,哈尔滨工业大学(威海),42,71.59,0.1218408736,5942659,9789,607.0751864338,3297
8739,哈尔滨工业大学,19213,2014,理科,山东,哈尔滨工业大学(威海),35,70.68,0.0909090909,5468433,9733.39,561.8220373375,3297
8743,哈尔滨工业大学,19213,2011,理科,山东,哈尔滨工业大学(威海),20,27.82,0.0765182186,3916992,9587.87,408.5362025142,3297
8752,哈尔滨工程大学,10217,2012,理科,黑龙江,哈尔滨工程大学,25,8.48,0,1258200,3834.01,328.1681581425,3301
8753,哈尔滨工程大学,10217,2011,理科,黑龙江,哈尔滨工程大学,20,9.83,0,1036860,3833.35,270.4840413737,3301
8760,哈尔滨工程大学,10217,2013,理科,黑龙江,哈尔滨工程大学,33,7.42,0,1369158,3834.04,357.1058204922,3301
8761,哈尔滨工程大学,10217,2015,理科,黑龙江,哈尔滨工程大学,40,64.9,0,1503938,3833,392.3657709366,3301
8769,哈尔滨工程大学,10217,2014,理科,黑龙江,哈尔滨工程大学,33,63.22,0,1438293,3835.02,375.0418511507,3301
8778,哈尔滨工程大学,10217,2010,理科,黑龙江,哈尔滨工程大学,20,10.44,0,858700,3826.01,224.4374687991,3301
8788,哈尔滨理工大学,10214,2015,理科,黑龙江,哈尔滨理工大学,121,62.33,0,1503938,3833,392.3657709366,3291
8789,四川农业大学,10626,2014,理科,四川,四川农业大学,10,61.42,0,2626077,8107,323.927100037,1574
8791,四川农业大学,10626,2013,理科,四川,四川农业大学,20,3.61,0,2387280,8076.2,295.5944627424,1574
8796,四川农业大学,10626,2010,理科,四川,四川农业大学,20,4.51,0,1415128,8185,172.8928527795,1574
8799,四川农业大学,10626,2015,理科,四川,四川农业大学,10,62.96,0,2853666,8140,350.5732186732,1574
8805,四川大学,10610,2015,文科,四川,四川大学,13,74.05,0.1269890796,2853666,8140,350.5732186732,1581
8807,四川大学,10610,2012,理科,四川,四川大学,86,32.23,0.1362537764,2102668,8050,261.2009937888,1581
8813,四川大学,10610,2012,文科,四川,四川大学,16,32.23,0.1362537764,2102668,8050,261.2009937888,1581
8814,四川大学,10610,2010,理科,四川,四川大学,93,34.18,0.121399177,1415128,8185,172.8928527795,1581
8830,四川大学,10610,2014,理科,四川,四川大学,103,72.31,0.1452922078,2626077,8107,323.927100037,1581
8841,四川大学,10610,2013,文科,四川,四川大学,16,30,0.1352798054,2387280,8076.2,295.5944627424,1581
8843,四川大学,10610,2011,理科,四川,四川大学,93,33.37,0.1396761134,1718548,8044.92,213.6190291513,1581
8851,四川大学,10610,2010,文科,四川,四川大学,16,34.18,0.121399177,1415128,8185,172.8928527795,1581
8864,四川大学,10610,2011,文科,四川,四川大学,20,33.37,0.1396761134,1718548,8044.92,213.6190291513,1581
8881,四川大学,10610,2013,理科,四川,四川大学,94,30,0.1352798054,2387280,8076.2,295.5944627424,1581
8888,四川大学,10610,2015,理科,四川,四川大学,107,74.05,0.1269890796,2853666,8140,350.5732186732,1581
8910,四川大学,10610,2014,文科,四川,四川大学,17,72.31,0.1452922078,2626077,8107,323.927100037,1581
