"","Year","University_Name_Location","Province","Topic","Plan_Number","GDP_Per_Person","X1A_Number","Level"
"335",2011,"天津财经大学","天津","理科",23,709.961594409254,30392,"K"
"336",2011,"对外经济贸易大学","北京","理科",32,719.383250930221,30392,"H"
"337",2011,"山东大学","山东","理科",61,408.536202514218,30392,"J"
"338",2011,"南开大学","天津","理科",28,709.961594409254,30392,"H"
"339",2011,"北京大学","北京","理科",12,719.383250930221,30392,"C"
"340",2011,"中国政法大学","北京","理科",39,719.383250930221,30392,"I"
"341",2011,"北京第二外国语学院","北京","理科",13,719.383250930221,30392,"J"
"342",2011,"上海交通大学医学","上海","理科",8,745.484787159199,30392,"G"
"343",2011,"广东外语外贸大学","广东","理科",1908,440.698442860509,30392,"K"
"344",2011,"电子科技大学(沙河校区)","四川","理科",20,213.619029151315,30392,"K"
"345",2011,"中山大学","广东","理科",2722,440.698442860509,30392,"I"
"346",2011,"北京交通大学","北京","理科",76,719.383250930221,30392,"J"
"347",2011,"哈尔滨工业大学(威海)","山东","理科",20,408.536202514218,30392,"K"
"348",2011,"南方医科大学","广东","理科",1899,440.698442860509,30392,"K"
"349",2011,"北京工业大学","北京","理科",14,719.383250930221,30392,"K"
"350",2011,"北京科技大学","北京","理科",42,719.383250930221,30392,"K"
"351",2011,"中国传媒大学","北京","理科",24,719.383250930221,30392,"K"
"352",2011,"中国人民大学","北京","理科",34,719.383250930221,30392,"F"
"353",2011,"中国矿业大学(北京)","北京","理科",6,719.383250930221,30392,"K"
"354",2011,"华南农业大学","广东","理科",5324,440.698442860509,30392,"K"
"355",2011,"上海外国语大学","上海","理科",9,745.484787159199,30392,"I"
"356",2011,"暨南大学","广东","理科",1354,440.698442860509,30392,"J"
"357",2011,"北京协和医学院","北京","理科",5,719.383250930221,30392,"K"
"358",2011,"复旦大学","上海","理科",36,745.484787159199,30392,"E"
"359",2011,"天津医科大学","天津","理科",5,709.961594409254,30392,"K"
"360",2011,"广州医科大学","广东","理科",310,440.698442860509,30392,"K"
"361",2011,"中国矿业大学","江苏","理科",90,526.416192463409,30392,"K"
"362",2011,"东华大学","上海","理科",36,745.484787159199,30392,"K"
"363",2011,"汕头大学","广东","理科",675,440.698442860509,30392,"K"
"364",2011,"北京理工大学","北京","理科",65,719.383250930221,30392,"J"
"365",2011,"安徽大学","安徽","理科",10,207.486192019071,30392,"K"
"366",2011,"北京中医药大学","北京","理科",6,719.383250930221,30392,"J"
"367",2011,"合肥工业大学","安徽","理科",105,207.486192019071,30392,"K"
"368",2011,"上海理工大学","上海","理科",55,745.484787159199,30392,"K"
"369",2011,"上海财经大学","上海","理科",25,745.484787159199,30392,"G"
"370",2011,"河海大学","江苏","理科",81,526.416192463409,30392,"K"
"371",2011,"东南大学","江苏","理科",50,526.416192463409,30392,"J"
"372",2011,"南京邮电大学","江苏","理科",46,526.416192463409,30392,"K"
"373",2011,"中国药科大学","江苏","理科",23,526.416192463409,30392,"K"
"374",2011,"南京农业大学","江苏","理科",69,526.416192463409,30392,"K"
