"","University_Name","UniversityNo","Year","Topic","X","Province","University_Name_Location","Plan_Number","Lowest_Ranking","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person","X1A_Number","Ranking_Percentage","University_Name_Pinyin","Distance"
"12464","湖南中医药大学",10541,2014,"理科",1179,"湖南","湖南中医药大学",6,32720,60.41,NA,2450167,6690.6,75.6,366.210354826174,43106,0.759059063703429,"hunanzhongyiyaodaxue",657
"12465","湖南中医药大学",10541,2010,"理科",175,"湖南","湖南中医药大学",7,29105,0.94,NA,1305969,6406,61.5,203.866531376834,29550,0.984940778341794,"hunanzhongyiyaodaxue",657
"12466","湖南中医药大学",10541,2011,"理科",412,"湖南","湖南中医药大学",10,26565,0.91,NA,1603796,6570.1,65.5,244.105264760049,30392,0.874078704922348,"hunanzhongyiyaodaxue",657
"12467","湖南中医药大学",10541,2011,"理科",412,"湖南","湖南中医药大学",10,26565,0.91,NA,1603796,6570.1,65.5,244.105264760049,30392,0.874078704922348,"hunanzhongyiyaodaxue",657
"12468","湖南中医药大学",10541,2011,"理科",412,"湖南","湖南中医药大学",10,26565,0.91,NA,1603796,6570.1,65.5,244.105264760049,30392,0.874078704922348,"hunanzhongyiyaodaxue",657
"12469","湖南中医药大学",10541,2010,"理科",175,"湖南","湖南中医药大学",7,29105,0.94,NA,1305969,6406,61.5,203.866531376834,29550,0.984940778341794,"hunanzhongyiyaodaxue",657
"12470","湖南中医药大学",10541,2010,"理科",175,"湖南","湖南中医药大学",7,29105,0.94,NA,1305969,6406,61.5,203.866531376834,29550,0.984940778341794,"hunanzhongyiyaodaxue",657
"12471","湖南中医药大学",10541,2010,"理科",175,"湖南","湖南中医药大学",7,29105,0.94,NA,1305969,6406,61.5,203.866531376834,29550,0.984940778341794,"hunanzhongyiyaodaxue",657
"12472","湖南农业大学",10537,2015,"文科",1476,"湖南","湖南农业大学",13,16964,62.61,NA,2704846,6737,75.4,401.491168175746,16964,1,"hunannongyedaxue",656
"12473","湖南农业大学",10537,2015,"文科",1476,"湖南","湖南农业大学",13,16964,62.61,NA,2704846,6737,75.4,401.491168175746,16964,1,"hunannongyedaxue",656
"12474","湖南农业大学",10537,2015,"理科",1480,"湖南","湖南农业大学",130,51000,62.61,NA,2704846,6737,75.4,401.491168175746,51000,1,"hunannongyedaxue",656
"12475","湖南农业大学",10537,2015,"理科",1480,"湖南","湖南农业大学",130,51000,62.61,NA,2704846,6737,75.4,401.491168175746,51000,1,"hunannongyedaxue",656
"12476","湖南农业大学",10537,2015,"理科",1480,"湖南","湖南农业大学",130,51000,62.61,NA,2704846,6737,75.4,401.491168175746,51000,1,"hunannongyedaxue",656
"12477","湖南农业大学",10537,2014,"理科",1177,"湖南","湖南农业大学",101,43106,61.1,NA,2450167,6690.6,75.6,366.210354826174,43106,1,"hunannongyedaxue",656
"12478","湖南农业大学",10537,2014,"理科",1177,"湖南","湖南农业大学",101,43106,61.1,NA,2450167,6690.6,75.6,366.210354826174,43106,1,"hunannongyedaxue",656
"12479","湖南农业大学",10537,2014,"理科",1177,"湖南","湖南农业大学",101,43106,61.1,NA,2450167,6690.6,75.6,366.210354826174,43106,1,"hunannongyedaxue",656
"12480","湖南农业大学",10537,2015,"文科",1476,"湖南","湖南农业大学",13,16964,62.61,NA,2704846,6737,75.4,401.491168175746,16964,1,"hunannongyedaxue",656
"12481","湖南大学",10532,2014,"文科",1183,"湖南","湖南大学",29,3797,66.41,0.0685064935064935,2450167,6690.6,75.6,366.210354826174,14000,0.271214285714286,"hunandaxue",272
"12482","湖南大学",10532,2014,"文科",1183,"湖南","湖南大学",29,3797,66.41,0.0685064935064935,2450167,6690.6,75.6,366.210354826174,14000,0.271214285714286,"hunandaxue",272
"12483","湖南大学",10532,2014,"文科",1183,"湖南","湖南大学",29,3797,66.41,0.0685064935064935,2450167,6690.6,75.6,366.210354826174,14000,0.271214285714286,"hunandaxue",272
"12484","湖南大学",10532,2014,"文科",1183,"湖南","湖南大学",29,3797,66.41,0.0685064935064935,2450167,6690.6,75.6,366.210354826174,14000,0.271214285714286,"hunandaxue",272
"12485","湖南大学",10532,2011,"理科",413,"湖南","湖南大学",170,16821,14.05,0.0663967611336032,1603796,6570.1,65.5,244.105264760049,30392,0.553468017899447,"hunandaxue",272
"12486","湖南大学",10532,2014,"文科",1183,"湖南","湖南大学",29,3797,66.41,0.0685064935064935,2450167,6690.6,75.6,366.210354826174,14000,0.271214285714286,"hunandaxue",272
"12487","湖南大学",10532,2014,"文科",1183,"湖南","湖南大学",29,3797,66.41,0.0685064935064935,2450167,6690.6,75.6,366.210354826174,14000,0.271214285714286,"hunandaxue",272
"12488","湖南大学",10532,2011,"理科",413,"湖南","湖南大学",170,16821,14.05,0.0663967611336032,1603796,6570.1,65.5,244.105264760049,30392,0.553468017899447,"hunandaxue",272
"12489","湖南大学",10532,2011,"理科",413,"湖南","湖南大学",170,16821,14.05,0.0663967611336032,1603796,6570.1,65.5,244.105264760049,30392,0.553468017899447,"hunandaxue",272
"12490","湖南大学",10532,2010,"理科",179,"湖南","湖南大学",148,13505,13.84,0.0576131687242798,1305969,6406,61.5,203.866531376834,29550,0.457021996615905,"hunandaxue",272
"12491","湖南大学",10532,2010,"文科",176,"湖南","湖南大学",23,5474,13.84,0.0576131687242798,1305969,6406,61.5,203.866531376834,10869,0.503634188977827,"hunandaxue",272
"12492","湖南大学",10532,2010,"文科",176,"湖南","湖南大学",23,5474,13.84,0.0576131687242798,1305969,6406,61.5,203.866531376834,10869,0.503634188977827,"hunandaxue",272
"12493","湖南大学",10532,2010,"文科",176,"湖南","湖南大学",23,5474,13.84,0.0576131687242798,1305969,6406,61.5,203.866531376834,10869,0.503634188977827,"hunandaxue",272
"12494","湖南大学",10532,2010,"文科",176,"湖南","湖南大学",23,5474,13.84,0.0576131687242798,1305969,6406,61.5,203.866531376834,10869,0.503634188977827,"hunandaxue",272
"12495","湖南大学",10532,2010,"文科",176,"湖南","湖南大学",23,5474,13.84,0.0576131687242798,1305969,6406,61.5,203.866531376834,10869,0.503634188977827,"hunandaxue",272
"12496","湖南大学",10532,2010,"文科",176,"湖南","湖南大学",23,5474,13.84,0.0576131687242798,1305969,6406,61.5,203.866531376834,10869,0.503634188977827,"hunandaxue",272
"12497","湖南大学",10532,2010,"文科",176,"湖南","湖南大学",23,5474,13.84,0.0576131687242798,1305969,6406,61.5,203.866531376834,10869,0.503634188977827,"hunandaxue",272
"12498","湖南大学",10532,2010,"文科",176,"湖南","湖南大学",23,5474,13.84,0.0576131687242798,1305969,6406,61.5,203.866531376834,10869,0.503634188977827,"hunandaxue",272
"12499","湖南大学",10532,2015,"理科",1483,"湖南","湖南大学",215,13532,67.92,0.0681747269890796,2704846,6737,75.4,401.491168175746,51000,0.265333333333333,"hunandaxue",272
