"","Year","Topic","University_Name_Location","Label","University_Name","UniversityNo","Province","Plan_Number","Lowest_Ranking","Score","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person","X1A_Number","Ranking_Percentage","University_Name_Pinyin","Distance","Score_Last_Year"
"94",2010,"理科","中国地质大学(武汉)",2143,"中国地质大学",10491,"湖北",56,24313,626,11.73,0.041563786,1296110,5720,61.5,226.5926573427,29550,0.8227749577,"zhongguodizhidaxue",988,542
"95",2010,"理科","中国政法大学",2333,"中国政法大学",10053,"北京",39,4748,659,6.2,0.1930041152,1215300,1860,61.5,653.3870967742,29550,0.160676819,"zhongguozhengfadaxue",2154,576
"96",2010,"理科","中国海洋大学",2554,"中国海洋大学",10423,"山东",80,22046,629,11.65,0.0330864198,3389665,9470.3,61.5,357.9258312831,29550,0.7460575296,"zhongguohaiyangdaxue",440,560
"97",2010,"理科","中国石油大学(北京)",2681,"中国石油大学",11414,"北京",15,19602,632,10.91,0.0366255144,1215300,1860,61.5,653.3870967742,29550,0.6633502538,"zhongguoshiyoudaxue",1858,563
"98",2010,"理科","中国石油大学(华东)",2623,"中国石油大学",10425,"山东",37,25753,625,10.91,0.0366255144,3389665,9470.3,61.5,357.9258312831,29550,0.8715059222,"zhongguoshiyoudaxue",1858,543
"99",2010,"理科","中国矿业大学(北京)",2926,"中国矿业大学",11413,"北京",6,26934,623,10.77,0,1215300,1860,61.5,653.3870967742,29550,0.9114720812,"zhongguokuangyedaxue",2136,553
"100",2010,"理科","中国科学技术大学",2948,"中国科学技术大学",10358,"安徽",32,718,680,0,0,1006282,6131,61.5,164.1301582124,29550,0.0242978003,"zhongguokexuejizhudaxue",1214,631
"101",2010,"理科","中国药科大学",3053,"中国药科大学",10316,"江苏",25,28197,622,3.49,0,3445730,7810.269,61.5,441.1794267265,29550,0.954213198,"zhongguoyaokedaxue",1390,554
"102",2010,"理科","中央民族大学",3162,"中央民族大学",10052,"北京",9,27551,632,6.21,0.0489711934,1215300,1860,61.5,653.3870967742,29550,0.9323519459,"zhongyangminzudaxue",2122,540
"103",2010,"理科","中央财经大学",3350,"中央财经大学",10034,"北京",53,2046,669,5.38,0.2580246914,1215300,1860,61.5,653.3870967742,29550,0.0692385787,"zhongyangcaijingdaxue",2152,619
