,UniversityNo,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Last_Lowest_Ranking,Label,Lowest,Highest,ave,Plan,NO
1078,10697,西北大学,1647,陕西,1768994,3775,468.6076821192,2015,66.67,0.0644305772,理科,12,31945,29,572,,575,,第一批
1079,10697,西北大学,1647,陕西,1604521,3764,426.2808182784,2014,64.59,0.0642857143,文科,2,6875,17,604,607,606,2,第一批
1080,10697,西北大学,1647,陕西,1012348,3735,271.0436412316,2011,11.63,0.0449392713,理科,4,28814,24,621,630,625,5,第一批
1081,10697,西北大学,1647,陕西,1768994,3775,468.6076821192,2015,66.67,0.0644305772,文科,8,7525,26,594,,596,,第一批
1082,10699,西北工业大学,1641,陕西,1604521,3764,426.2808182784,2014,65.87,0.0420454545,理科,34,14545,27,595,626,611,30,第一批
1083,10699,西北工业大学,1641,陕西,1251230,3743,334.2853326209,2012,15.62,0.024652568,理科,25,15664,25,575,608,595,21,第一批
1084,10699,西北工业大学,1641,陕西,1012348,3735,271.0436412316,2011,17.08,0,理科,21,15713,17,637,659,644,21,第一批
1085,10699,西北工业大学,1641,陕西,1251230,3743,334.2853326209,2012,15.62,0.024652568,文科,2,9566,18,590,591,590,3,第一批
1086,10699,西北工业大学,1641,陕西,1445368,3753,385.1233679723,2013,14.41,0.0248175182,文科,4,7117,18,597,598,598,2,第一批
1087,10699,西北工业大学,1641,陕西,1604521,3764,426.2808182784,2014,65.87,0.0420454545,文科,4,9415,16,597,606,601,4,第一批
1088,10699,西北工业大学,1641,陕西,1768994,3775,468.6076821192,2015,67.82,0.0463338534,理科,41,30588,21,,,596,,第一批
1089,10699,西北工业大学,1641,陕西,1012348,3735,271.0436412316,2011,17.08,0,文科,4,10045,22,596,607,602,4,第一批
1090,10699,西北工业大学,1641,陕西,1768994,3775,468.6076821192,2015,67.82,0.0463338534,文科,4,7193,20,,,599,,第一批
1091,10699,西北工业大学,1641,陕西,1445368,3753,385.1233679723,2013,14.41,0.0248175182,理科,30,29207,17,586,626,608,25,第一批
1092,10613,西南交通大学,1588,四川,2626077,8107,323.927100037,2014,63.84,0.0438311688,文科,14,10964,17,594,607,601,12,第一批
1093,10613,西南交通大学,1588,四川,2387280,8076.2,295.5944627424,2013,9.61,0.0277372263,文科,12,7011,19,578,601,595,6,第一批
1094,10613,西南交通大学,1588,四川,1718548,8044.92,213.6190291513,2011,10.15,0,文科,7,8974,21,599,600,599,4,第一批
1095,10613,西南交通大学,1588,四川,1718548,8044.92,213.6190291513,2011,10.15,0,理科,100,17479,20,623,653,638,92,第一批
1096,10613,西南交通大学,1588,四川,2102668,8050,261.2009937888,2012,10.33,0.0277039275,理科,104,20792,19,569,601,587,108,第一批
1097,10613,西南交通大学,1588,四川,2102668,8050,261.2009937888,2012,10.33,0.0277039275,文科,6,8771,18,585,600,591,7,第一批
1098,10613,西南交通大学,1588,四川,2387280,8076.2,295.5944627424,2013,9.61,0.0277372263,理科,112,17702,21,582,628,606,104,第一批
1099,10613,西南交通大学,1588,四川,2853666,8140,350.5732186732,2015,64.73,0,理科,121,18009,23,592,,599,,第一批
1100,10613,西南交通大学,1588,四川,2626077,8107,323.927100037,2014,63.84,0.0438311688,理科,110,21190,21,584,618,601,112,第一批
1101,10613,西南交通大学,1588,四川,2853666,8140,350.5732186732,2015,64.73,0,文科,17,7711,21,594,,598,,第一批
1102,10635,西南大学,1581,重庆,1426540,2991,476.9441658308,2015,65.15,0.0742589704,文科,12,7579,20,,,599,,第一批
1103,10635,西南大学,1581,重庆,1140960,2945,387.4227504244,2013,10.32,0.0515815085,理科,45,24017,24,573,604,594,42,第一批
1104,10635,西南大学,1581,重庆,1426540,2991,476.9441658308,2015,65.15,0.0742589704,理科,30,29164,27,,,582,,第一批
1105,10635,西南大学,1581,重庆,1001137,2919,342.9725933539,2012,10.52,0.0525679758,理科,42,28930,23,569,585,573,36,第一批
1106,10635,西南大学,1581,重庆,1001137,2919,342.9725933539,2012,10.52,0.0525679758,文科,6,8230,19,586,593,589,7,第一批
1107,10635,西南大学,1581,重庆,1140960,2945,387.4227504244,2013,10.32,0.0515815085,文科,13,7397,18,578,598,593,6,第一批
