,UniversityNo,Year,Topic,Lowest,GDP,Population,GDP_Per_Person,Plan_Number,Ranking_Scores,Media_Impact,Distance,Last_Ranking,Average_Ranking
229,10491,2013,1,578.0,2225045,5779.0,385.02249524139097,84,11.87,0.0360097323600973,988.0,22208.0,23993.666666666668
230,11415,2013,1,591.0,1787940,2069.3,864.0313149374181,34,11.87,0.0360097323600973,988.0,23997.0,24093.333333333332
233,10491,2011,0,600.0,1596761,5727.9143,278.768311879247,16,11.82,0.0359919028340081,988.0,8538.0,8538.0
234,11415,2014,1,580.0,1950056,2114.8,922.09948931341,35,64.77,0.0558441558441558,988.0,31160.0,25860.0
237,10053,2014,1,616.0,1950056,2114.8,922.09948931341,42,62.39,0.16558441558441597,2154.0,3870.0,4280.0
238,10053,2012,0,623.0,1625193,2018.6,805.108986426236,43,6.45,0.167673716012085,2154.0,870.0,823.5
239,10053,2011,0,627.0,1411358,1961.9,719.3832509302209,48,5.85,0.17004048582996,2154.0,777.0,777.0
242,10053,2011,1,659.0,1411358,1961.9,719.3832509302209,39,5.85,0.17004048582996,2154.0,4748.0,4748.0
243,10053,2014,0,599.0,1950056,2114.8,922.09948931341,55,62.39,0.16558441558441597,2154.0,8725.0,2883.0
244,10053,2015,0,,2133083,2152.0,991.209572490706,56,64.35,0.19344773790951603,2154.0,3177.0,2941.8
245,10053,2015,0,,2133083,2152.0,991.209572490706,56,64.35,0.19344773790951603,2154.0,3177.0,2941.8
246,10053,2013,0,618.0,1787940,2069.3,864.0313149374181,55,5.8,0.169099756690998,2154.0,1160.0,935.6666666666666
247,10053,2013,1,639.0,1787940,2069.3,864.0313149374181,42,5.8,0.169099756690998,2154.0,3412.0,4416.666666666667
248,10053,2015,1,,2133083,2152.0,991.209572490706,49,64.35,0.19344773790951603,2154.0,43106.0,12045.2
249,10053,2015,1,,2133083,2152.0,991.209572490706,49,64.35,0.19344773790951603,2154.0,43106.0,12045.2
250,10053,2012,1,599.0,1625193,2018.6,805.108986426236,34,6.45,0.167673716012085,2154.0,5090.0,4919.0
252,10423,2014,1,592.0,5468433,9733.39,561.822037337454,111,64.09,0.0438311688311688,440.0,21843.0,21308.5
253,10423,2012,1,563.0,4536185,9637.27,470.69190756303396,86,11.11,0.0311178247734139,440.0,21446.0,21746.0
255,10423,2013,0,584.0,5001324,9684.87,516.405899098284,27,10.18,0.0304136253041363,440.0,5721.0,6554.666666666667
256,10423,2014,0,608.0,5468433,9733.39,561.822037337454,27,64.09,0.0438311688311688,440.0,5397.0,6265.25
257,10423,2011,1,629.0,3916992,9587.87,408.53620251421796,86,11.21,0.0284615384615385,440.0,22046.0,22046.0
258,10423,2012,0,589.0,4536185,9637.27,470.69190756303396,18,11.11,0.0311178247734139,440.0,7325.0,6971.5
259,10423,2013,1,585.0,5001324,9684.87,516.405899098284,111,10.18,0.0304136253041363,440.0,19899.0,21130.333333333332
260,10423,2011,0,605.0,3916992,9587.87,408.53620251421796,14,11.21,0.0284615384615385,440.0,6618.0,6618.0
263,10425,2013,1,586.0,5001324,9684.87,516.405899098284,48,9.95,0.054014598540145994,1858.0,23126.0,25492.0
264,11414,2013,1,583.0,1787940,2069.3,864.0313149374181,19,9.95,0.054014598540145994,1858.0,29207.0,22164.666666666668
265,10425,2012,1,570.0,4536185,9637.27,470.69190756303396,40,11.26,0.0537764350453172,1858.0,27597.0,26675.0
