"","University_Name","UniversityNo","Year","Topic","Province","University_Name_Location","Plan_Number","Lowest_Ranking","Score","Ranking_Scores","Media_Impact","GDP","Population","Student_Population","GDP_Per_Person","X1A_Number","Ranking_Percentage","University_Name_Pinyin","Distance"
"249","上海外国语大学",10271,2011,"文科","上海","上海外国语大学",9,717,626,2.8,0.0293927125506073,1716598,2302.66,65.5,745.484787159199,10919,0.0656653539701438,"shanghaiwaiguoyudaxue",1466
"266","上海外国语大学",10271,2010,"文科","上海","上海外国语大学",8,706,637,2.94,0.0322633744855967,1504645,2210.28412774259,61.5,680.747321629064,10869,0.0649553776796393,"shanghaiwaiguoyudaxue",1466
"291","上海大学",10280,2011,"理科","上海","上海大学",27,13602,591,8.18,0.0615384615384615,1716598,2302.66,65.5,745.484787159199,30392,0.447551987365096,"shanghaidaxue",1473
"294","上海大学",10280,2010,"文科","上海","上海大学",5,4252,613,7.78,0.0596707818930041,1504645,2210.28412774259,61.5,680.747321629064,10869,0.391204342625817,"shanghaidaxue",1473
"303","上海大学",10280,2010,"理科","上海","上海大学",25,17596,635,7.78,0.0596707818930041,1504645,2210.28412774259,61.5,680.747321629064,29550,0.595465313028765,"shanghaidaxue",1473
"307","上海大学",10280,2014,"理科","上海","上海大学",23,18425,591,63.49,0.0761363636363636,2160212,2415.15,75.6,894.442167153179,43106,0.427434695866005,"shanghaidaxue",1473
"318","上海大学",10280,2013,"理科","上海","上海大学",40,17408,599,9.21,0.070316301703163,2018172,2380.43,72.7,847.818251324341,40420,0.430677882236517,"shanghaidaxue",1473
"329","上海大学",10280,2012,"理科","上海","上海大学",22,16895,603,8.16,0.0719033232628399,1919569,2347.46,69.2,817.721707718129,29207,0.57845721915979,"shanghaidaxue",1473
"346","上海大学",10280,2015,"理科","上海","上海大学",10,16371,618,64.03,0.0673946957878315,2356094,2426,75.4,971.184666117065,51000,0.321,"shanghaidaxue",1473
"351","上海大学",10280,2013,"文科","上海","上海大学",3,3664,615,9.21,0.070316301703163,2018172,2380.43,72.7,847.818251324341,12924,0.283503559269576,"shanghaidaxue",1473
"362","上海大学",10280,2011,"文科","上海","上海大学",3,2801,607,8.18,0.0615384615384615,1716598,2302.66,65.5,745.484787159199,10919,0.256525322831761,"shanghaidaxue",1473
"373","上海大学",10280,2014,"文科","上海","上海大学",2,1876,619,63.49,0.0761363636363636,2160212,2415.15,75.6,894.442167153179,14000,0.134,"shanghaidaxue",1473
"386","上海大学",10280,2012,"文科","上海","上海大学",3,5894,600,8.16,0.0719033232628399,1919569,2347.46,69.2,817.721707718129,10000,0.5894,"shanghaidaxue",1473
"412","上海海事大学",10254,2015,"文科","上海","上海海事大学",34,11169,581,61.8,0,2356094,2426,75.4,971.184666117065,16964,0.658394246639943,"shanghaihaishidaxue",1474
"413","上海海事大学",10254,2015,"理科","上海","上海海事大学",127,50373,577,61.8,0,2356094,2426,75.4,971.184666117065,51000,0.987705882352941,"shanghaihaishidaxue",1474
"419","上海海事大学",10254,2014,"文科","上海","上海海事大学",33,14000,579,60.53,0,2160212,2415.15,75.6,894.442167153179,14000,1,"shanghaihaishidaxue",1474
"423","上海海事大学",10254,2014,"理科","上海","上海海事大学",134,43106,560,60.53,0,2160212,2415.15,75.6,894.442167153179,43106,1,"shanghaihaishidaxue",1474
"428","上海海洋大学",10264,2015,"文科","上海","上海海洋大学",26,15104,573,61.84,0,2356094,2426,75.4,971.184666117065,16964,0.890356048101863,"shanghaihaiyangdaxue",1479
"432","上海海洋大学",10264,2014,"理科","上海","上海海洋大学",81,43106,560,60.43,0,2160212,2415.15,75.6,894.442167153179,43106,1,"shanghaihaiyangdaxue",1479
"436","上海海洋大学",10264,2014,"文科","上海","上海海洋大学",26,14000,579,60.43,0,2160212,2415.15,75.6,894.442167153179,14000,1,"shanghaihaiyangdaxue",1479
"438","上海海洋大学",10264,2015,"理科","上海","上海海洋大学",81,51000,577,61.84,0,2356094,2426,75.4,971.184666117065,51000,1,"shanghaihaiyangdaxue",1479
"444","上海理工大学",10252,2012,"理科","上海","上海理工大学",55,19247,599,1.89,0,1919569,2347.46,69.2,817.721707718129,29207,0.658985859554216,"shanghailigongdaxue",1484
"447","上海理工大学",10252,2014,"理科","上海","上海理工大学",59,26375,579,61.15,0,2160212,2415.15,75.6,894.442167153179,43106,0.611863777664362,"shanghailigongdaxue",1484
"449","上海理工大学",10252,2010,"理科","上海","上海理工大学",50,22132,629,1.71,0,1504645,2210.28412774259,61.5,680.747321629064,29550,0.748967851099831,"shanghailigongdaxue",1484
"452","上海理工大学",10252,2015,"理科","上海","上海理工大学",59,24623,606,62.83,0,2356094,2426,75.4,971.184666117065,51000,0.482803921568627,"shanghailigongdaxue",1484
"453","上海理工大学",10252,2011,"理科","上海","上海理工大学",55,19761,581,1.85,0,1716598,2302.66,65.5,745.484787159199,30392,0.650204001052909,"shanghailigongdaxue",1484
"462","上海理工大学",10252,2013,"理科","上海","上海理工大学",69,27201,585,1.78,0,2018172,2380.43,72.7,847.818251324341,40420,0.672958931222167,"shanghailigongdaxue",1484
"480","上海财经大学",10272,2010,"文科","上海","上海财经大学",9,576,639,5.3,0.0781893004115226,1504645,2210.28412774259,61.5,680.747321629064,10869,0.0529947557272978,"shanghaicaijingdaxue",1473
