"","Year","UniversityNo","Ranking_Scores","Province","Topic","Media_Impact","Plan_Number","GDP_Per_Person","X1A_Number","Level"
"720",2013,10055,27.91,"天津","文科",0.157177615571776,18,912.42118671054,12924,38
"721",2013,10272,5.15,"上海","文科",0.0695863746958637,13,847.818251324341,12924,31
"722",2013,10558,37.85,"广东","文科",0.253041362530414,837,538.681517840287,12924,37
"723",2013,10034,4.46,"北京","文科",0.245742092457421,28,864.031314937418,12924,55
"724",2013,10593,4.79,"广西","文科",0.0272506082725061,6,278.408799658266,12924,59
"725",2013,10031,NA,"北京","文科",NA,13,864.031314937418,12924,42
"726",2013,10280,9.21,"上海","文科",0.070316301703163,3,847.818251324341,12924,46
"727",2013,10052,5.22,"北京","文科",0.0369829683698297,11,864.031314937418,12924,52
"728",2013,10036,3.88,"北京","文科",0.0457420924574209,38,864.031314937418,12924,56
"729",2013,10290,10.71,"江苏","文科",0.0233576642335766,2,682.555006452037,12924,56
"730",2013,10007,14.04,"北京","文科",0.0778588807785888,8,864.031314937418,12924,59
"731",2013,10294,8.33,"江苏","文科",NA,10,682.555006452037,12924,56
"732",2013,10269,18.73,"上海","文科",0.0912408759124088,8,847.818251324341,12924,39
"733",2013,10486,37.06,"湖北","文科",0.219951338199513,41,385.022495241391,12924,35
"734",2013,10271,2.53,"上海","文科",0.0279805352798054,4,847.818251324341,12924,44
"735",2013,10248,47.62,"上海","文科",0.165693430656934,1,847.818251324341,12924,1
"736",2013,10316,3.42,"江苏","文科",NA,2,682.555006452037,12924,55
"737",2013,10030,3.22,"北京","文科",0.0360097323600973,7,864.031314937418,12924,24
"738",2013,10006,19.81,"北京","文科",0.0600973236009732,3,864.031314937418,12924,38
"739",2013,10001,100,"北京","文科",1,18,864.031314937418,12924,1
"740",2013,10403,6.38,"江西","文科",0.0413625304136253,14,287.501669929704,12924,59
"741",2013,10010,8.77,"北京","文科",NA,12,864.031314937418,12924,57
"742",2013,10003,96.81,"北京","文科",0.975669099756691,4,864.031314937418,12924,1
"743",2013,10043,NA,"北京","文科",NA,10,864.031314937418,12924,59
"744",2013,10054,4.44,"北京","文科",NA,10,864.031314937418,12924,59
"745",2013,10307,9.16,"江苏","文科",NA,2,682.555006452037,12924,59
"746",2013,10291,4.46,"江苏","文科",0.0230170316301703,10,682.555006452037,12924,59
"747",2013,10542,7.79,"湖南","文科",0.0326034063260341,26,333.701816407162,12924,55
"748",2013,10002,28.36,"北京","文科",0.557177615571776,39,864.031314937418,12924,12
"749",2013,19002,28.36,"江苏","文科",0.557177615571776,6,682.555006452037,12924,37
"750",2013,10284,45.01,"江苏","文科",0.177858880778589,19,682.555006452037,12924,19
"751",2013,10300,1.59,"江苏","文科",NA,7,682.555006452037,12924,59
"752",2013,10019,18.1,"北京","文科",0.119221411192214,6,864.031314937418,12924,53
"753",2013,10589,3.99,"海南","文科",0.0454987834549878,43,322.095764480289,12924,59
"754",2013,10053,5.8,"北京","文科",0.169099756690998,55,864.031314937418,12924,55
"755",2013,10610,30,"四川","文科",0.135279805352798,16,295.594462742379,12924,45
"756",2013,10079,4.44,"河北","文科",NA,6,364.665159979197,12924,59
"757",2013,10005,6.71,"北京","文科",0.0394160583941606,6,864.031314937418,12924,59
"758",2013,10511,11.06,"湖北","文科",0.0647201946472019,39,385.022495241391,12924,52
"759",2013,10657,4.5,"贵州","文科",NA,6,196.672282703849,12924,59
"760",2013,10213,25.8,"黑龙江","文科",0.0472019464720195,6,357.105820492222,12924,57
"761",2013,10173,3.15,"辽宁","文科",NA,29,566.106858054226,12924,59
